[00:00.000 --> 00:04.640]  I'm recording.
[01:02:01.520 --> 01:02:14.060]  The sinusoid is a periodic signal that produces, all right, a spectrum that is purely a single frequency.
[01:02:14.620 --> 01:02:20.600]  Whatever the sinusoidal signal is, if it is a 1 kHz sinusoidal signal,
[01:02:20.600 --> 01:02:36.560]  if you break it down into its frequency spectrum, then you expect to see that it is a single line at exactly, of course, 1 kHz.
[01:02:36.680 --> 01:02:38.580]  There's nothing else there.
[01:02:38.580 --> 01:02:50.980]  And the beauty of that really is that it's only the sinusoid that has that characteristic, of course, and all of its siblings, cosine wave, all right?
[01:02:50.980 --> 01:03:03.540]  So a sine or cosine wave or any wave in that same characteristic, we're not talking about phase here, all right, will produce that single frequency thing.
[01:03:03.540 --> 01:03:10.240]  If it's a sinusoidal signal, then it will be a single bar at 2 kHz.
[01:03:10.320 --> 01:03:11.300]  Do you remember this?
[01:03:11.640 --> 01:03:11.880]  All right?
[01:03:12.340 --> 01:03:15.240]  How do you go from time domain to frequency domain?
[01:03:15.400 --> 01:03:16.380]  Anong ginagawa nyo?
[01:03:16.500 --> 01:03:17.220]  What do you use?
[01:03:19.780 --> 01:03:24.840]  How do you go from time domain over to frequency domain?
[01:03:25.340 --> 01:03:26.040]  What do you use?
[01:03:27.160 --> 01:03:28.120]  Oy, nag-DSP kayo.
[01:03:28.340 --> 01:03:29.040]  Yes, Fourier.
[01:03:29.340 --> 01:03:29.720]  Exactly.
[01:03:30.180 --> 01:03:30.460]  All right?
[01:03:30.460 --> 01:03:40.240]  So you can use the Fourier transform, be it discrete Fourier transform or the fast Fourier transform, all right, to go from one to the other.
[01:03:41.100 --> 01:03:41.440]  All right?
[01:03:41.500 --> 01:03:42.780]  To go from one to the other.
[01:03:42.980 --> 01:03:45.240]  So they are mathematically related.
[01:03:45.500 --> 01:03:56.740]  So if you took a sinusoid and pass it through the FFT or Fourier transform of MATLAB, for example, you would get the spectrum.
[01:03:56.740 --> 01:04:00.040]  And you've done this in DSP class.
[01:04:01.340 --> 01:04:02.120]  All right?
[01:04:03.280 --> 01:04:08.660]  So the key point here is what happens if you put in a square wave?
[01:04:10.020 --> 01:04:10.760]  All right?
[01:04:10.760 --> 01:04:14.520]  The answer is your spectrum will look very different.
[01:04:14.520 --> 01:04:18.680]  If you put in a square wave, you're going to get a spectrum that looks like this.
[01:04:18.680 --> 01:04:27.480]  One kHz with 3 kHz, 5 kHz, 7 kHz, and so on and so forth as the resulting spectrum.
[01:04:27.640 --> 01:04:29.340]  You'll see something there.
[01:04:29.980 --> 01:04:30.160]  All right?
[01:04:30.160 --> 01:04:40.620]  If you were to put in a triangular wave form, it's going to be another spectrum which basically looks like this.
[01:04:41.000 --> 01:04:41.260]  All right?
[01:04:41.620 --> 01:04:43.380]  And this is going to be at 1 kHz.
[01:04:43.460 --> 01:04:44.860]  This is going to be at 2 kHz.
[01:04:44.980 --> 01:04:46.280]  This is going to be at 4 kHz.
[01:04:46.400 --> 01:04:48.720]  This is going to be at 6, and so on and so forth.
[01:04:48.720 --> 01:04:53.380]  And that tells you that the wave form was triangular.
[01:04:53.380 --> 01:05:02.500]  Now, bottom line is it's only the sinusoid that produces a clean, pure output.
[01:05:03.060 --> 01:05:17.800]  Anything else, including a distorted sine wave, will produce those extra components.
[01:05:18.720 --> 01:05:19.020]  Okay?
[01:05:20.020 --> 01:05:23.980]  And those extra components that we see here are called harmonics.
[01:05:25.460 --> 01:05:25.740]  Okay?
[01:05:26.380 --> 01:05:29.180]  These extra things here are harmonics.
[01:05:29.180 --> 01:05:36.900]  And so, how do you now get a figure of merit for the amplifier?
[01:05:37.200 --> 01:05:38.220]  The answer is simple.
[01:05:38.680 --> 01:05:43.840]  We excite it with the sinusoid, and we look at the output spectrum,
[01:05:43.840 --> 01:05:52.440]  and we measure the amplitude of the harmonics versus the fundamental.
[01:05:53.580 --> 01:05:54.500]  Okay?
[01:05:56.980 --> 01:06:02.380]  We measure the amplitude of the harmonics against the fundamental.
[01:06:02.380 --> 01:06:16.660]  And, ratio-metrically, how big or how small the harmonics are against the fundamental gives us a unitless result.
[01:06:17.120 --> 01:06:17.680]  Okay?
[01:06:17.740 --> 01:06:24.120]  If you're talking in terms of volts, for example, fundamental is 8 volts peak-to-peak.
[01:06:24.120 --> 01:06:28.020]  My first harmonic is 1 volt peak-to-peak.
[01:06:28.160 --> 01:06:30.940]  My next harmonic is 0.5 volts peak-to-peak.
[01:06:31.060 --> 01:06:34.780]  My third harmonic is 0.226 volts peak-to-peak.
[01:06:35.120 --> 01:06:40.960]  If I take all of that, all right, and I compare it to the fundamental by doing division,
[01:06:41.640 --> 01:06:43.700]  the volts cancels out.
[01:06:44.080 --> 01:06:45.780]  I get a unitless thing.
[01:06:45.780 --> 01:06:56.720]  But that unitless thing, whatever its value is, tells me the ratio of harmonic magnitude to the fundamental.
[01:06:57.660 --> 01:07:06.260]  And the bigger the value is, the lousier the amplifier was.
[01:07:06.420 --> 01:07:14.240]  Because the more it changes the shape, the larger the number of harmonics that will result.
[01:07:15.780 --> 01:07:16.140]  Okay?
[01:07:17.040 --> 01:07:24.600]  The beauty of this test or quantification method is that because you're doing division,
[01:07:25.660 --> 01:07:30.340]  amplitude, the absolute amplitudes don't matter.
[01:07:30.800 --> 01:07:32.960]  It's the ratio that matters.
[01:07:32.960 --> 01:07:42.960]  And because that's the case, voltage gain does not have any influence in terms of the ratio.
[01:07:44.240 --> 01:07:44.300]  Okay?
[01:07:44.300 --> 01:07:47.160]  So, what effect yung voltage gain?
[01:07:47.840 --> 01:07:48.140]  All right?
[01:07:48.560 --> 01:07:53.280]  Or absolute magnitude of the output doesn't matter.
[01:07:53.900 --> 01:07:56.260]  It's the ratio that actually counts.
[01:07:56.380 --> 01:07:57.120]  That's number one.
[01:07:57.620 --> 01:08:04.340]  Number two, because you're passing it through a Fourier transform, phase is automatically disregarded.
[01:08:04.980 --> 01:08:07.300]  You're only looking at the magnitude.
[01:08:07.300 --> 01:08:12.420]  Although, actually, in a fast Fourier or a DFT or an FFT, there are two values.
[01:08:12.560 --> 01:08:12.640]  Diba?
[01:08:12.760 --> 01:08:15.660]  Kasi meron tayong mirror image dito.
[01:08:15.840 --> 01:08:15.980]  Okay?
[01:08:16.040 --> 01:08:17.520]  So, we're ignoring this.
[01:08:18.120 --> 01:08:18.500]  All right?
[01:08:18.640 --> 01:08:21.160]  We're ignoring the negative portion.
[01:08:21.160 --> 01:08:28.840]  And only looking at the positive portion or right side of it and just looking at the magnitudes.
[01:08:29.580 --> 01:08:33.060]  So, phase becomes ignored.
[01:08:34.140 --> 01:08:34.440]  Okay?
[01:08:34.440 --> 01:08:39.080]  So, it will not matter if your amplifier is inverting or not.
[01:08:39.580 --> 01:08:41.240]  In fact, it might be in between.
[01:08:41.440 --> 01:08:43.940]  It might be moving it by 90 degrees.
[01:08:44.620 --> 01:08:47.540]  Automatically, this thing doesn't care.
[01:08:47.920 --> 01:08:48.880]  All right?
[01:08:48.880 --> 01:09:13.020]  And finally, if we put all of this together, we get essentially a measurement that is purely concentrated on the shape deviation.
[01:09:14.300 --> 01:09:14.700]  All right?
[01:09:14.700 --> 01:09:29.660]  And this, ladies and gentlemen, is a measure, all right, which we call as total harmonic distortion.
[01:09:30.480 --> 01:09:30.660]  Okay?
[01:09:30.940 --> 01:09:34.480]  This is what we call as total harmonic distortion.
[01:09:34.480 --> 01:09:40.960]  Because what we're doing is we're adding up all of the harmonics that we see.
[01:09:42.720 --> 01:09:44.240]  Adding it all up.
[01:09:44.780 --> 01:09:45.860]  Totaling it.
[01:09:46.440 --> 01:09:49.840]  And comparing it to the fundamental.
[01:09:50.680 --> 01:09:50.920]  Okay?
[01:09:51.280 --> 01:09:58.000]  So, this measurement is called total harmonic distortion or THT for short.
[01:09:58.000 --> 01:09:59.000]  All right?
[01:09:59.000 --> 01:09:59.120]  All right?
[01:09:59.200 --> 01:10:04.680]  And it is a measure that was established long, long, long ago.
[01:10:05.300 --> 01:10:05.720]  All right?
[01:10:05.820 --> 01:10:10.260]  In the 1940s and 1950s by the engineers.
[01:10:10.800 --> 01:10:11.680]  All right?
[01:10:12.300 --> 01:10:18.780]  Who wanted or needed to quantify the performance of an amplifier.
[01:10:19.640 --> 01:10:19.920]  Okay?
[01:10:20.240 --> 01:10:23.320]  So, this is very old, but that's how it was done.
[01:10:23.320 --> 01:10:35.240]  So, take a pure sinusoidal input, get the output signal, and get the spectrum of it.
[01:10:36.520 --> 01:10:43.400]  Add up the harmonics, compare it to the fundamental to get your total harmonic distortion.
[01:10:43.400 --> 01:10:44.160]  Okay?
[01:10:44.160 --> 01:10:44.200]  Okay?
[01:10:44.520 --> 01:10:57.360]  Now, as to how it was done back in those days when they did not have computers to do the computation of FFT and so on and so forth, we don't have to go into the details.
[01:10:57.800 --> 01:10:58.020]  All right?
[01:10:58.100 --> 01:10:59.840]  We don't have to go into the details.
[01:11:00.120 --> 01:11:06.700]  But bottom line is it was possible to make instrumentations to make such measurements.
[01:11:06.700 --> 01:11:24.140]  And up to today, a THT measurement is still a standard that we use to better understand and provide figures of merit for amplifiers.
[01:11:24.700 --> 01:11:29.920]  It is still done today as a measure of performance.
[01:11:30.660 --> 01:11:30.920]  Okay?
[01:11:31.020 --> 01:11:32.540]  It has not been superseded.
[01:11:32.540 --> 01:11:38.220]  There have been other forms of measurement that have been derivatives of the THD.
[01:11:38.700 --> 01:11:47.100]  But when you look, for example, at an amplifier, it is still one of the specs that is provided.
[01:11:48.180 --> 01:11:48.440]  All right?
[01:11:48.500 --> 01:11:53.720]  Because everybody still looks at it to know how good or how lousy an amplifier is.
[01:11:54.120 --> 01:11:54.240]  Okay?
[01:11:54.500 --> 01:12:01.840]  By the way, this THD measurement, right, typically is not just simply adding the magnitudes of these guys.
[01:12:01.840 --> 01:12:04.060]  You actually get the geometric sum.
[01:12:04.440 --> 01:12:04.800]  Okay?
[01:12:05.020 --> 01:12:07.040]  It's a geometric sum.
[01:12:07.100 --> 01:12:08.840]  Because you're ignoring phase.
[01:12:09.120 --> 01:12:11.680]  So these things might be out of phase or whatever.
[01:12:11.900 --> 01:12:18.520]  So usually, it is basically, you know, X1, X2, X3, and so on and so forth.
[01:12:18.520 --> 01:12:22.700]  For the harmonics squared added together and taking the square.
[01:12:22.980 --> 01:12:23.220]  Okay?
[01:12:23.540 --> 01:12:23.840]  All right.
[01:12:23.920 --> 01:12:26.080]  So that's how it's done.
[01:12:26.820 --> 01:12:27.420]  Okay?
[01:12:27.580 --> 01:12:29.260]  In the real world.
[01:12:29.720 --> 01:12:29.960]  Okay?
[01:12:29.960 --> 01:12:32.500]  So a couple of examples of that.
[01:12:33.100 --> 01:12:34.320]  Checking the time here.
[01:12:34.760 --> 01:12:34.980]  All right?
[01:12:35.100 --> 01:12:43.720]  Let's just say for the sake of argument that we have a terrible amplifier that doesn't know what it's doing.
[01:12:43.840 --> 01:12:44.760]  All right?
[01:12:44.760 --> 01:12:56.920]  Such that the input sine wave gets mangled by our amplifier such that it produces the blue colored output.
[01:12:57.800 --> 01:12:58.000]  Okay?
[01:12:58.080 --> 01:13:00.660]  Again, the amplitudes here are not significant.
[01:13:01.300 --> 01:13:02.720]  You're just looking at the shape.
[01:13:02.900 --> 01:13:06.500]  And in terms of the shape, it is really, really, really terrible.
[01:13:06.500 --> 01:13:17.640]  In fact, it is creating a second, you know, frequency right out of it because it is doing really weird things.
[01:13:18.160 --> 01:13:18.400]  All right?
[01:13:18.760 --> 01:13:32.740]  And so if you take the spectrum of this one, what you're going to see is that, number one, it has a DC offset because it's not symmetric from the vertical axis, which is your voltage.
[01:13:32.740 --> 01:13:35.520]  So you'll notice that it's all a positive output.
[01:13:35.980 --> 01:13:41.340]  That's why the center here is roughly, you know, your DC offset.
[01:13:41.740 --> 01:13:46.820]  And that's reflected here at zero frequency if you took the FFT.
[01:13:46.940 --> 01:13:48.380]  And I'm pretty sure you know how to do that.
[01:13:48.380 --> 01:13:55.680]  Now, it is, in fact, oscillating at twice the input frequency.
[01:13:55.860 --> 01:13:58.260]  That is why there's a component at 2F.
[01:13:58.880 --> 01:14:05.540]  And it continues to break down and show that there are further harmonics at 4F and 6F.
[01:14:05.860 --> 01:14:08.320]  So this is all even harmonics.
[01:14:08.540 --> 01:14:10.240]  It's missing the fundamental.
[01:14:10.520 --> 01:14:13.480]  And it's producing just harmonics in itself.
[01:14:13.620 --> 01:14:15.120]  This is a very, very bad circuit.
[01:14:15.120 --> 01:14:19.340]  You don't expect that an amplifier would produce something like this.
[01:14:19.420 --> 01:14:26.560]  Not unless it is really, really overloaded and really dependent on the design of the amplifier in itself.
[01:14:27.200 --> 01:14:27.320]  Okay?
[01:14:27.700 --> 01:14:31.760]  So, but this is just illustrative of the spectrum analysis.
[01:14:32.280 --> 01:14:32.520]  All right?
[01:14:33.200 --> 01:14:35.640]  Here is another amplifier.
[01:14:35.980 --> 01:14:36.820]  All right?
[01:14:37.220 --> 01:14:39.240]  Whose output looks like this.
[01:14:39.240 --> 01:14:44.260]  And as you can see, there is symmetry above and below.
[01:14:44.260 --> 01:14:46.720]  That's why there's no DC offset.
[01:14:47.580 --> 01:14:50.700]  There is a definite amplitude for the fundamental.
[01:14:50.700 --> 01:15:00.220]  It does have an output that is repetitive at the same input frequency.
[01:15:00.540 --> 01:15:02.140]  And that's your fundamental here.
[01:15:02.860 --> 01:15:03.120]  All right?
[01:15:03.560 --> 01:15:09.160]  And in this case, it has harmonics that are all on order.
[01:15:09.160 --> 01:15:13.000]  So, 3F, 5F, and only up to 7F.
[01:15:13.480 --> 01:15:15.780]  And this is the resulting spectrum.
[01:15:16.560 --> 01:15:20.640]  And so we can actually quantify this if we wanted to.
[01:15:21.100 --> 01:15:27.460]  Getting the amplitudes of each one and comparing, taking their geometric sum and comparing against the fundamental
[01:15:27.460 --> 01:15:34.480]  to give a measure of the total harmonic distortion for this actual signal over here.
[01:15:35.040 --> 01:15:35.300]  Okay?
[01:15:35.480 --> 01:15:37.300]  So it's possible to do it.
[01:15:38.860 --> 01:15:46.540]  And if you have the proper instrumentation or you have the proper tools to actually make this happen.
[01:15:46.540 --> 01:15:47.420]  Okay?
[01:15:47.420 --> 01:15:47.460]  Okay?
[01:15:47.740 --> 01:15:48.020]  All right.
[01:15:49.340 --> 01:15:53.140]  And here is a pure sinusoidal signal.
[01:15:53.520 --> 01:15:53.760]  All right?
[01:15:54.040 --> 01:16:04.260]  And interestingly, if you didn't know, LTSpice can make distortion measurements.
[01:16:05.180 --> 01:16:05.540]  All right?
[01:16:05.540 --> 01:16:13.360]  Now, in order to do that, however, there are a couple of commands that you put in.
[01:16:14.020 --> 01:16:25.940]  And you have to set it up in order to do a proper simulation and be able to produce the distortion measurement.
[01:16:26.440 --> 01:16:32.540]  As well as it can produce a distortion plot, a spectrum.
[01:16:33.220 --> 01:16:33.540]  All right?
[01:16:33.540 --> 01:16:38.840]  And so given the amount of time left, I think we can demonstrate this.
[01:16:39.540 --> 01:16:39.620]  Okay?
[01:16:41.080 --> 01:16:47.000]  The basic steps that you have to do, all right, include the following.
[01:16:47.960 --> 01:16:48.320]  Okay?
[01:16:49.340 --> 01:16:59.680]  You need to provide the LTSpice with a certain amount of simulation.
[01:16:59.680 --> 01:17:11.920]  If you're familiar with Fourier transform, you know that you cannot get a proper spectrum out of a single waveform input.
[01:17:12.640 --> 01:17:12.760]  Okay?
[01:17:12.880 --> 01:17:17.180]  Kung isang waveform lang, pangit ang lalabas dun sa spectrum.
[01:17:17.380 --> 01:17:20.360]  You'll have very, very lousy frequency resolution.
[01:17:20.360 --> 01:17:21.560]  All right?
[01:17:21.560 --> 01:17:21.700]  All right?
[01:17:21.700 --> 01:17:36.480]  So what you need to be able to do is provide a larger number of waves at the output so that you can do a proper Fourier transformation.
[01:17:36.480 --> 01:17:54.700]  So get at least 10 cycles or 20 cycles, all right, or even more so that you have a large number of sinusoidal samples or semi-sinusoidal samples to do an analysis from.
[01:17:54.700 --> 01:17:57.700]  And set your parameters in order to do that.
[01:17:57.700 --> 01:18:03.020]  So in this particular case, for example, our start time is 1 second.
[01:18:03.380 --> 01:18:17.680]  Our stop time is 1.01 seconds, which gives us a 10 millisecond period for which our outputs will be, or data samples will be gathered.
[01:18:17.680 --> 01:18:23.940]  That at 1 kilohertz, this is 10 cycles, all right?
[01:18:24.100 --> 01:18:30.060]  And that's enough if you want to look at the spectrum, but you might want to increase that.
[01:18:30.500 --> 01:18:30.700]  All right?
[01:18:31.020 --> 01:18:38.900]  So maybe if you make this 1.05 so that there are 50 cycles for the Fourier analysis to look at.
[01:18:39.380 --> 01:18:39.680]  Okay?
[01:18:39.680 --> 01:18:44.320]  So take that into consideration, all right?
[01:18:45.120 --> 01:18:52.760]  Put in, all right, a fair number of sign cycles to analyze, all right?
[01:18:53.880 --> 01:19:04.840]  And hit the SPICE directive and tell it that you want to do a Fourier analysis.
[01:19:05.520 --> 01:19:05.740]  Okay?
[01:19:05.800 --> 01:19:07.240]  So this one is important.
[01:19:07.240 --> 01:19:10.120]  Put it in, all right?
[01:19:10.120 --> 01:19:10.360]  All right?
[01:19:10.780 --> 01:19:13.020]  That F-O-U-R.
[01:19:13.880 --> 01:19:17.040]  And what is the fundamental frequency?
[01:19:17.320 --> 01:19:20.920]  This has to match the input frequency.
[01:19:21.360 --> 01:19:24.020]  If not, your Fourier analysis is going to be wrong.
[01:19:24.880 --> 01:19:25.200]  All right?
[01:19:25.340 --> 01:19:28.900]  Your harmonic distortion calculation is going to be wrong.
[01:19:29.580 --> 01:19:29.800]  Okay?
[01:19:29.940 --> 01:19:31.420]  So it should match it.
[01:19:31.420 --> 01:19:39.360]  The excitation of 1 kilohertz must also get matched by the Fourier transforms argument over here.
[01:19:39.360 --> 01:19:46.840]  And what follows would be the nodes for which you want to do a Fourier analysis on.
[01:19:46.840 --> 01:19:53.340]  So obviously, you should be looking at the output node, which I believe is node number 3 here.
[01:19:53.800 --> 01:20:00.060]  And I think this was included, node number 5, because node number 5 is the input node.
[01:20:00.260 --> 01:20:01.820]  So this is the reference.
[01:20:02.280 --> 01:20:08.100]  You expect node number 5 to be practically zero in distortion,
[01:20:08.100 --> 01:20:14.580]  because that's a mathematically generated pure sine wave.
[01:20:15.220 --> 01:20:15.600]  All right?
[01:20:16.200 --> 01:20:17.800]  So that's it.
[01:20:18.340 --> 01:20:19.140]  Well, okay.
[01:20:19.360 --> 01:20:20.500]  A couple of other things.
[01:20:20.560 --> 01:20:34.140]  That's already enough to do a Fourier analysis with your output being in text form.
[01:20:34.140 --> 01:20:34.640]  Okay?
[01:20:34.720 --> 01:20:36.700]  It will be in text form.
[01:20:37.320 --> 01:20:40.440]  And the thing that you have to take note of...
[01:20:40.440 --> 01:20:40.780]  Okay, wait.
[01:20:40.860 --> 01:20:43.620]  I'll stop here muna because there's additional stuff.
[01:20:45.160 --> 01:20:47.580]  I'd like to show you this already.
[01:20:49.340 --> 01:20:50.100]  All right?
[01:20:50.240 --> 01:20:52.840]  And just drag this back over here.
[01:20:53.740 --> 01:20:55.980]  Let me just erase everything, by the way.
[01:20:57.100 --> 01:20:58.020]  Kasi magkakaluro.
[01:20:59.480 --> 01:20:59.720]  Okay.
[01:21:00.560 --> 01:21:01.660]  Balik natin to.
[01:21:03.520 --> 01:21:04.040]  Okay.
[01:21:04.140 --> 01:21:08.940]  Now, i-edit ko lang.
[01:21:09.360 --> 01:21:09.660]  All right?
[01:21:09.740 --> 01:21:10.840]  Let's edit this.
[01:21:11.340 --> 01:21:12.500]  Let's remove this.
[01:21:12.980 --> 01:21:14.360]  Let's bring this back up.
[01:21:15.240 --> 01:21:22.340]  And simulate and edit the simulation command.
[01:21:22.480 --> 01:21:26.260]  As I said, we want to increase the simulation time.
[01:21:26.780 --> 01:21:28.140]  Let's make this...
[01:21:28.920 --> 01:21:29.720]  What's this?
[01:21:30.780 --> 01:21:32.900]  Instead of 1.01.
[01:21:32.900 --> 01:21:34.100]  Let's say 1.05.
[01:21:34.100 --> 01:21:34.780]  What the hell?
[01:21:35.280 --> 01:21:35.480]  Okay.
[01:21:35.540 --> 01:21:37.120]  More cycles coming in.
[01:21:37.120 --> 01:21:43.000]  And we are also going to have to put in a dot trance statement.
[01:21:43.000 --> 01:21:46.800]  But let's find out which node we are interested in first.
[01:21:46.800 --> 01:21:48.500]  So it's this node.
[01:21:48.500 --> 01:21:49.860]  It's node number 3.
[01:21:49.860 --> 01:21:51.320]  You might want to take note of that.
[01:21:51.320 --> 01:21:52.520]  I'm putting the cursor here.
[01:21:52.640 --> 01:21:57.500]  And if you look at the bottom left of the screen, it's kind of small in text.
[01:21:57.620 --> 01:22:01.260]  But it says this is node N003.
[01:22:01.820 --> 01:22:02.060]  All right?
[01:22:02.060 --> 01:22:07.820]  And if you go over here, this one is node N005.
[01:22:07.820 --> 01:22:17.640]  So indeed, what we want to put is a dot four-year statement, 1 kilohertz.
[01:22:18.700 --> 01:22:26.800]  And the nodes of interest are node N003 and node N005.
[01:22:27.440 --> 01:22:27.700]  Okay?
[01:22:28.280 --> 01:22:28.640]  All right?
[01:22:28.640 --> 01:22:32.160]  So hopefully, I got the syntax correct.
[01:22:32.540 --> 01:22:32.800]  Okay?
[01:22:32.920 --> 01:22:34.360]  Hopefully, I got the syntax correct.
[01:22:34.480 --> 01:22:36.300]  It will complain anyway if it's wrong.
[01:22:36.740 --> 01:22:36.880]  Ay!
[01:22:37.100 --> 01:22:37.300]  Nako!
[01:22:37.760 --> 01:22:38.560]  Nawala yung dot.
[01:22:39.600 --> 01:22:40.120]  Dot.
[01:22:41.640 --> 01:22:42.280]  Four-year.
[01:22:42.800 --> 01:22:43.080]  Okay?
[01:22:43.220 --> 01:22:43.780]  Dot four-year.
[01:22:44.500 --> 01:22:46.000]  And that should do it.
[01:22:46.200 --> 01:22:46.400]  All right?
[01:22:46.440 --> 01:22:47.180]  That should do it.
[01:22:47.360 --> 01:22:53.640]  And when you run the simulation, all right, it will just run it because it's a transient
[01:22:53.640 --> 01:22:55.060]  analysis.
[01:22:55.060 --> 01:22:57.640]  You can still look at the output.
[01:22:57.900 --> 01:23:01.840]  Yes, you've got to get a large number of cycles there, pretty obviously, but we're not
[01:23:01.840 --> 01:23:03.100]  really interested in that.
[01:23:03.620 --> 01:23:08.520]  We want to see how distorted this amplifier is.
[01:23:08.620 --> 01:23:10.000]  And now that's the interesting thing.
[01:23:10.120 --> 01:23:13.760]  Where do I find the results of the dot four-year statement?
[01:23:14.460 --> 01:23:17.800]  And the answer is it's over here.
[01:23:18.300 --> 01:23:19.140]  All right?
[01:23:19.140 --> 01:23:26.660]  And you can view it by looking at, stupidly, the spice error log.
[01:23:27.140 --> 01:23:34.940]  Now, as to why the output of the dot four-year is in the spice error log, I don't know.
[01:23:35.300 --> 01:23:35.540]  All right?
[01:23:35.720 --> 01:23:37.440]  Bakit nandun sa error log yan?
[01:23:37.540 --> 01:23:38.620]  Eh, pero dun niya linagay.
[01:23:39.000 --> 01:23:39.220]  Okay?
[01:23:39.300 --> 01:23:40.120]  Ganon talaga yun.
[01:23:40.600 --> 01:23:41.560]  So click on that.
[01:23:41.560 --> 01:23:46.360]  And what you're going to see is, oops, where is the output?
[01:23:46.860 --> 01:23:47.340]  My bad.
[01:23:47.860 --> 01:23:48.020]  Okay?
[01:23:48.260 --> 01:23:53.100]  I think it ignored the dot four-year statement because I forgot a parameter.
[01:23:54.060 --> 01:23:56.060]  Ano yung nakalimutan kong parameter dito?
[01:23:57.080 --> 01:23:57.300]  Okay?
[01:23:57.900 --> 01:24:03.500]  Ah, the V and the ellipses.
[01:24:03.760 --> 01:24:04.040]  All right?
[01:24:04.200 --> 01:24:05.600]  That's why it didn't work.
[01:24:06.300 --> 01:24:06.760]  That's funny.
[01:24:06.900 --> 01:24:09.040]  It didn't even tell me that it's an error.
[01:24:09.040 --> 01:24:09.600]  Okay?
[01:24:09.980 --> 01:24:12.260]  So let's go back to that and edit it.
[01:24:13.000 --> 01:24:13.580]  My bad.
[01:24:15.200 --> 01:24:15.460]  Okay?
[01:24:15.740 --> 01:24:17.120]  Dot F-O-U-R.
[01:24:19.180 --> 01:24:23.880]  V sub N003.
[01:24:24.680 --> 01:24:29.460]  And V sub N005.
[01:24:30.160 --> 01:24:30.940]  Take two.
[01:24:31.400 --> 01:24:32.940]  Let's run this again.
[01:24:33.200 --> 01:24:33.680]  All right?
[01:24:33.860 --> 01:24:34.840]  Run, run.
[01:24:34.840 --> 01:24:40.820]  And let's look at the SPICE error log.
[01:24:41.180 --> 01:24:42.060]  Huwag niyo ko pahihain.
[01:24:42.360 --> 01:24:42.780]  Ayan.
[01:24:43.040 --> 01:24:43.640]  Meron na.
[01:24:44.060 --> 01:24:44.300]  Okay?
[01:24:44.820 --> 01:24:46.300]  So nakikita niyo ba ito?
[01:24:47.360 --> 01:24:47.720]  All right?
[01:24:47.820 --> 01:24:49.260]  Can you see this?
[01:24:50.500 --> 01:24:50.940]  All right?
[01:24:51.740 --> 01:24:56.120]  And if you look at it very, very carefully, all right,
[01:24:56.120 --> 01:25:07.420]  you can see that this is reporting that we have approximately 10% distortion in our output.
[01:25:07.640 --> 01:25:09.240]  And that's really what we are looking for.
[01:25:09.340 --> 01:25:12.740]  So node number three has a pretty terrible distortion.
[01:25:12.740 --> 01:25:22.880]  And node number five here is saying that, oh, there is also some distortion in the output of the pure sine wave.
[01:25:23.000 --> 01:25:29.200]  So, you know, when you see something like this, you know that there is something not quite right with the simulation.
[01:25:30.120 --> 01:25:30.400]  Okay?
[01:25:30.400 --> 01:25:33.100]  You're not quite getting the correct output.
[01:25:33.240 --> 01:25:36.320]  This should actually be pretty much zero.
[01:25:36.500 --> 01:25:37.160]  But it's not.
[01:25:37.240 --> 01:25:38.520]  It's saying that there's 1%.
[01:25:38.520 --> 01:25:40.680]  So there's something weird about it.
[01:25:40.800 --> 01:25:41.040]  All right?
[01:25:41.040 --> 01:25:42.380]  There's something weird about it.
[01:25:42.500 --> 01:25:44.300]  And I have an idea of what it is.
[01:25:44.400 --> 01:25:52.360]  But bottom line here is the important thing is for Fourier analysis, it's possible to do it as it built in.
[01:25:52.680 --> 01:25:54.960]  Just use the .four statement.
[01:25:55.960 --> 01:25:56.140]  Okay?
[01:25:56.520 --> 01:25:58.200]  Unfortunately, it's 9 o'clock.
[01:26:00.040 --> 01:26:07.420]  There are a couple of other things that we have not yet done, which is why we're getting these weird values.
[01:26:08.040 --> 01:26:10.180]  And unfortunately, there's no more time.
[01:26:10.180 --> 01:26:17.180]  But it is part of the control panel here that you have to do a couple of other things.
[01:26:17.480 --> 01:26:17.640]  All right?
[01:26:17.700 --> 01:26:20.280]  And so we're going to stop here.
[01:26:20.740 --> 01:26:21.440]  All right?
[01:26:21.500 --> 01:26:22.860]  We're going to stop here.
[01:26:22.860 --> 01:26:30.000]  And the bottom line here is if you do things correctly, these are the expected results.
[01:26:30.700 --> 01:26:31.020]  Okay?
[01:26:31.580 --> 01:26:35.000]  If you do it properly, you're going to get something like this.
[01:26:36.000 --> 01:26:38.600]  Distortion, 11.78%.
[01:26:38.600 --> 01:26:39.500]  All right?
[01:26:39.840 --> 01:26:44.000]  And your input signal is 0% distortion.
[01:26:44.680 --> 01:26:44.960]  Okay?
[01:26:44.960 --> 01:26:46.920]  So meron kulang pa.
[01:26:47.280 --> 01:26:50.020]  So ito ang lalabas more or less dapat.
[01:26:50.660 --> 01:26:50.880]  Okay?
[01:26:50.920 --> 01:26:56.300]  This is the same circuit with the correct synulation conditions.
[01:26:57.020 --> 01:26:57.280]  Okay?
[01:26:57.280 --> 01:27:08.540]  And you can actually ask LTSpice to give you a spectrum of the distortion as well.
[01:27:09.000 --> 01:27:09.360]  All right?
