[00:00.000 --> 00:06.000]  I'm back.
[55:03.660 --> 55:05.100]  you just shove in and say,
[55:05.160 --> 55:06.440]  everything is an approximation.
[55:06.780 --> 55:08.240]  Anyway, what dahil?
[55:08.740 --> 55:08.940]  Right?
[55:11.320 --> 55:11.860]  Okay.
[55:11.860 --> 55:14.320]  Ano nga ba yung goal dito?
[55:15.520 --> 55:18.240]  Determine the power dissipated.
[55:19.240 --> 55:20.000]  All right?
[55:20.860 --> 55:24.180]  Determine the power dissipated by P sub C.
[55:28.500 --> 55:30.080]  By the transistor pala.
[55:30.180 --> 55:30.380]  Sorry.
[55:31.220 --> 55:31.780]  What the hell?
[55:31.780 --> 55:34.920]  The power dissipated by the transistor.
[55:35.340 --> 55:40.220]  And that variable is here given as P sub C.
[55:40.780 --> 55:41.000]  All right?
[55:41.000 --> 55:42.240]  P sub C.
[55:43.320 --> 55:46.440]  And express this in milliwatts.
[55:47.100 --> 55:47.200]  Okay?
[55:47.540 --> 55:48.800]  So how do we do that?
[55:48.880 --> 55:52.320]  Well, we can say that the power dissipation
[55:52.320 --> 55:54.420]  of the transistor P sub C,
[55:54.520 --> 55:54.980]  in this case,
[55:55.060 --> 55:57.220]  because it insisted on using P sub C,
[55:57.640 --> 55:59.720]  again, is simply equal to,
[55:59.860 --> 56:01.120]  or roughly equal to,
[56:01.220 --> 56:03.840]  IC times VCE.
[56:04.640 --> 56:05.340]  All right?
[56:05.340 --> 56:10.980]  If you wanted a more exacting value,
[56:10.980 --> 56:15.140]  you could use IE times VCE.
[56:16.360 --> 56:17.040]  All right?
[56:18.100 --> 56:19.880]  That would be the more exacting value.
[56:20.000 --> 56:20.740]  But again,
[56:21.080 --> 56:22.160]  most of the time,
[56:22.480 --> 56:24.600]  most people will just calculate it
[56:24.600 --> 56:26.300]  on the basis of the collector current.
[56:26.720 --> 56:27.400]  All right?
[56:27.400 --> 56:27.520]  Okay.
[56:28.280 --> 56:28.600]  Okay.
[56:28.760 --> 56:30.500]  So looking at that,
[56:30.880 --> 56:32.380]  how do we get that?
[56:32.460 --> 56:32.600]  Well,
[56:32.640 --> 56:33.020]  obviously,
[56:33.120 --> 56:34.600]  we're going to have to solve
[56:34.600 --> 56:35.740]  for,
[56:35.840 --> 56:36.940]  you know,
[56:36.980 --> 56:39.440]  these two operating values
[56:39.440 --> 56:42.680]  to get the power dissipation.
[56:43.680 --> 56:43.960]  Okay?
[56:43.960 --> 56:46.560]  And so this is just a question of,
[56:46.980 --> 56:47.140]  well,
[56:47.240 --> 56:48.980]  basically solving for the question point.
[56:50.060 --> 56:51.660]  And how do you do that?
[56:51.960 --> 56:53.320]  Using approximate analysis.
[56:54.020 --> 56:54.240]  Well,
[56:54.380 --> 56:57.760]  find out what your voltage here is.
[56:58.140 --> 56:58.340]  All right?
[56:58.380 --> 57:01.380]  This is your voltage at the base.
[57:03.000 --> 57:03.280]  Okay?
[57:04.300 --> 57:04.720]  All right?
[57:05.260 --> 57:08.620]  And you can subtract your VBE
[57:08.620 --> 57:12.320]  to get your voltage at the emitter.
[57:12.320 --> 57:15.980]  And if you get the voltage at the emitter,
[57:16.220 --> 57:18.760]  then you can get your I sub E,
[57:19.220 --> 57:21.200]  which is simply equal to VE
[57:21.200 --> 57:24.500]  divided by 1RE,
[57:24.880 --> 57:26.620]  which you can just get
[57:26.620 --> 57:27.940]  because it's given.
[57:29.240 --> 57:29.600]  All right?
[57:30.000 --> 57:30.820]  So there you go.
[57:31.020 --> 57:32.840]  That's stupidly easy.
[57:33.480 --> 57:33.860]  All right?
[57:34.840 --> 57:36.480]  And given that,
[57:37.060 --> 57:37.460]  all right,
[57:37.600 --> 57:39.360]  we didn't even bother to use
[57:39.360 --> 57:41.100]  the beta is equal to 80 here.
[57:41.880 --> 57:42.240]  All right?
[57:42.320 --> 57:43.760]  We didn't bother to use it.
[57:43.880 --> 57:45.300]  You actually already
[57:45.300 --> 57:47.180]  can follow with the rest
[57:47.180 --> 57:47.760]  because
[57:47.760 --> 57:51.040]  you can already say that
[57:51.040 --> 57:54.100]  IC is roughly equal to IE.
[57:54.620 --> 57:55.400]  And so therefore,
[57:55.400 --> 57:56.720]  you're going to be able to get
[57:56.720 --> 57:57.220]  your
[57:57.220 --> 57:59.880]  V sub RC.
[58:00.820 --> 58:02.860]  And if you have your V sub RC,
[58:03.080 --> 58:04.280]  you have your 12 volts,
[58:04.740 --> 58:05.840]  and you have your
[58:05.840 --> 58:07.240]  V sub E.
[58:07.780 --> 58:08.480]  All right?
[58:08.480 --> 58:11.580]  Then you have your VCE.
[58:13.140 --> 58:14.640]  And because you have your VCE,
[58:14.820 --> 58:16.500]  you will be able to get the participation.
[58:16.500 --> 58:17.800]  All right?
[58:18.940 --> 58:19.420]  So,
[58:20.640 --> 58:21.000]  easy,
[58:21.080 --> 58:21.720]  easy stuff.
[58:22.260 --> 58:22.560]  All right?
[58:22.700 --> 58:23.000]  Easy,
[58:23.080 --> 58:23.360]  easy.
[58:23.460 --> 58:25.120]  If approximate analysis
[58:25.120 --> 58:26.360]  is acceptable
[58:26.360 --> 58:28.300]  because every other approximation
[58:28.300 --> 58:29.580]  becomes acceptable.
[58:29.580 --> 58:35.240]  All right?
[58:35.760 --> 58:36.060]  Okay.
[58:36.360 --> 58:36.600]  So,
[58:36.700 --> 58:37.420]  there you go with that.
[58:37.500 --> 58:40.120]  That's really not particularly challenging
[58:40.120 --> 58:43.320]  if you get down to the brass and tax all of it.
[58:43.860 --> 58:44.160]  Okay?
[58:44.600 --> 58:44.960]  All right.
[58:44.960 --> 58:48.140]  Do we need to actually solve this?
[58:49.060 --> 58:49.540]  Because
[58:49.540 --> 58:50.540]  that's
[58:50.540 --> 58:52.020]  pretty much there.
[58:52.980 --> 58:53.160]  Okay?
[58:53.320 --> 58:53.980]  What the hell?
[58:54.060 --> 58:55.060]  If you have a calculator,
[58:55.220 --> 58:56.500]  you can easily do that.
[58:57.380 --> 58:57.780]  And,
[58:58.040 --> 58:58.260]  yeah,
[58:58.320 --> 59:00.300]  you'd expect a small amount of participation.
[59:00.780 --> 59:01.020]  Just
[59:01.020 --> 59:02.640]  for the heck of it,
[59:03.820 --> 59:04.200]  VB.
[59:05.080 --> 59:05.460]  All right?
[59:05.580 --> 59:06.600]  VB is just
[59:06.600 --> 59:08.140]  based on the voltage divider,
[59:08.140 --> 59:10.160]  it is equal to 12 times
[59:10.160 --> 59:11.420]  7K
[59:11.420 --> 59:11.920]  over
[59:11.920 --> 59:12.980]  7K
[59:12.980 --> 59:13.500]  plus
[59:13.500 --> 59:14.140]  27K.
[59:14.960 --> 59:15.720]  And
[59:15.720 --> 59:18.460]  I will not take this step by step anymore
[59:18.460 --> 59:19.640]  because it takes too long
[59:19.640 --> 59:20.460]  and I'm getting bored.
[59:21.740 --> 59:22.800]  All right?
[59:23.220 --> 59:23.620]  So,
[59:23.820 --> 59:24.280]  that's
[59:24.280 --> 59:24.940]  basically
[59:24.940 --> 59:25.660]  7
[59:25.660 --> 59:26.780]  divided by
[59:26.780 --> 59:27.440]  7
[59:27.440 --> 59:28.140]  plus
[59:28.140 --> 59:29.840]  27.
[59:30.300 --> 59:31.160]  All right?
[59:31.620 --> 59:33.100]  Multiplied by 12
[59:33.100 --> 59:34.000]  and that gives us
[59:34.000 --> 59:35.420]  2.47 volts.
[59:37.520 --> 59:38.280]  Okay?
[59:38.780 --> 59:39.020]  So,
[59:39.140 --> 59:39.980]  VB is equal to
[59:39.980 --> 59:41.760]  2.47 volts.
[59:42.400 --> 59:43.060]  VE
[59:43.060 --> 59:44.440]  is equal to
[59:44.440 --> 59:46.900]  2.47
[59:46.900 --> 59:47.660]  minus
[59:47.660 --> 59:48.460]  0.7
[59:48.460 --> 59:49.140]  which is
[59:49.140 --> 59:51.400]  1.77 volts.
[59:53.120 --> 59:53.480]  All right?
[59:54.000 --> 59:54.400]  Ah!
[59:54.400 --> 59:55.200]  For the heck of it
[59:55.200 --> 59:56.360]  because we're on video.
[59:56.720 --> 59:56.980]  All right?
[59:57.140 --> 59:57.860]  VE
[59:57.860 --> 59:59.280]  is equal to
[59:59.280 --> 01:00:00.200]  VB
[01:00:00.200 --> 01:00:01.120]  minus
[01:00:01.120 --> 01:00:02.000]  VBE.
[01:00:02.800 --> 01:00:03.320]  Okay?
[01:00:03.720 --> 01:00:04.020]  All right.
[01:00:04.020 --> 01:00:04.240]  So,
[01:00:04.600 --> 01:00:05.060]  VE
[01:00:05.060 --> 01:00:06.060]  is equal to
[01:00:06.060 --> 01:00:08.260]  1.77 volts.
[01:00:08.640 --> 01:00:09.260]  Therefore,
[01:00:09.520 --> 01:00:10.260]  IE
[01:00:10.260 --> 01:00:11.640]  is equal to
[01:00:11.640 --> 01:00:12.800]  all right?
[01:00:13.320 --> 01:00:15.240]  1.77 volts
[01:00:15.240 --> 01:00:16.300]  divided by
[01:00:16.300 --> 01:00:18.320]  1,200
[01:00:18.320 --> 01:00:19.720]  is equal to
[01:00:19.720 --> 01:00:22.100]  1.475.
[01:00:22.600 --> 01:00:23.340]  All right?
[01:00:23.500 --> 01:00:25.660]  1.475
[01:00:25.660 --> 01:00:26.940]  AAA.
[01:00:26.940 --> 01:00:31.400]  1.476
[01:00:31.400 --> 01:00:32.480]  is the better
[01:00:32.480 --> 01:00:33.320]  approximation,
[01:00:33.520 --> 01:00:33.940]  I guess,
[01:00:34.580 --> 01:00:36.320]  milliampere.
[01:00:37.000 --> 01:00:37.260]  Okay?
[01:00:37.780 --> 01:00:39.400]  1.476
[01:00:39.400 --> 01:00:40.180]  milliampere.
[01:00:40.400 --> 01:00:40.980]  There we go
[01:00:40.980 --> 01:00:41.480]  with that.
[01:00:42.160 --> 01:00:42.740]  Congratulations.
[01:00:43.740 --> 01:00:44.180]  All right?
[01:00:44.180 --> 01:00:46.560]  We have
[01:00:46.560 --> 01:00:47.300]  IE
[01:00:47.300 --> 01:00:48.820]  and we can say
[01:00:48.820 --> 01:00:49.520]  that IC
[01:00:49.520 --> 01:00:50.320]  is roughly
[01:00:50.320 --> 01:00:51.020]  equal to
[01:00:51.020 --> 01:00:51.700]  IE.
[01:00:52.680 --> 01:00:53.300]  Therefore,
[01:00:53.840 --> 01:00:54.380]  V sub
[01:00:54.380 --> 01:00:54.900]  RC
[01:00:54.900 --> 01:00:55.880]  is equal
[01:00:55.880 --> 01:00:56.380]  to
[01:00:56.380 --> 01:00:58.700]  1.476
[01:00:58.700 --> 01:00:59.480]  milliampere
[01:00:59.480 --> 01:01:00.660]  multiplied
[01:01:00.660 --> 01:01:01.280]  to
[01:01:01.280 --> 01:01:03.240]  3.8
[01:01:03.240 --> 01:01:04.100]  kilo ohms
[01:01:04.100 --> 01:01:06.640]  which
[01:01:06.640 --> 01:01:07.380]  gives us
[01:01:07.380 --> 01:01:08.100]  a voltage
[01:01:08.100 --> 01:01:08.700]  of
[01:01:08.700 --> 01:01:09.560]  all right?
[01:01:11.160 --> 01:01:11.360]  Right?
[01:01:13.260 --> 01:01:14.020]  Times
[01:01:14.020 --> 01:01:16.140]  3800
[01:01:16.140 --> 01:01:17.040]  is
[01:01:17.040 --> 01:01:17.540]  equal to
[01:01:17.540 --> 01:01:18.920]  5.61.
[01:01:21.500 --> 01:01:22.060]  Okay.
[01:01:22.360 --> 01:01:22.480]  So,
[01:01:22.520 --> 01:01:22.960]  there we go.
[01:01:23.520 --> 01:01:23.880]  Therefore,
[01:01:24.220 --> 01:01:24.780]  we can say
[01:01:24.780 --> 01:01:25.680]  that VCE
[01:01:25.680 --> 01:01:26.480]  is equal
[01:01:26.480 --> 01:01:26.920]  to
[01:01:26.920 --> 01:01:28.120]  12 volts
[01:01:28.120 --> 01:01:28.600]  and we'll
[01:01:28.600 --> 01:01:29.140]  find out
[01:01:29.140 --> 01:01:29.640]  too if the
[01:01:29.640 --> 01:01:30.260]  transistor is
[01:01:30.260 --> 01:01:30.980]  biased property.
[01:01:31.180 --> 01:01:31.680]  It should be
[01:01:31.680 --> 01:01:32.620]  all right?
[01:01:32.760 --> 01:01:33.620]  12 volts
[01:01:33.620 --> 01:01:36.240]  minus
[01:01:36.240 --> 01:01:38.040]  all right?
[01:01:39.620 --> 01:01:41.280]  5.61
[01:01:41.280 --> 01:01:41.880]  volts
[01:01:41.880 --> 01:01:43.200]  minus
[01:01:43.200 --> 01:01:44.160]  V sub
[01:01:44.160 --> 01:01:44.480]  E
[01:01:44.480 --> 01:01:45.240]  which is
[01:01:45.240 --> 01:01:46.580]  1.77
[01:01:46.580 --> 01:01:47.520]  volts
[01:01:47.520 --> 01:01:48.740]  and that
[01:01:48.740 --> 01:01:49.620]  leaves us
[01:01:49.620 --> 01:01:50.380]  with
[01:01:50.380 --> 01:01:51.240]  drumroll
[01:01:51.240 --> 01:01:51.900]  please
[01:01:51.900 --> 01:01:53.400]  12 minus
[01:01:53.400 --> 01:01:54.060]  answer
[01:01:54.060 --> 01:01:54.680]  minus
[01:01:54.680 --> 01:01:55.960]  1.77
[01:01:55.960 --> 01:01:57.260]  is
[01:01:57.260 --> 01:01:58.460]  4.62
[01:01:58.460 --> 01:01:58.900]  volts.
[01:01:59.100 --> 01:01:59.260]  So,
[01:01:59.400 --> 01:01:59.620]  yes,
[01:01:59.680 --> 01:02:00.300]  it is
[01:02:00.300 --> 01:02:01.680]  on
[01:02:01.680 --> 01:02:02.340]  and it's
[01:02:02.340 --> 01:02:02.740]  in its
[01:02:02.740 --> 01:02:03.780]  active region
[01:02:03.780 --> 01:02:04.600]  perhaps not
[01:02:04.600 --> 01:02:05.180]  particularly
[01:02:05.180 --> 01:02:06.100]  well-centered
[01:02:06.100 --> 01:02:07.200]  but what
[01:02:07.200 --> 01:02:07.720]  the hell
[01:02:07.720 --> 01:02:08.200]  it will
[01:02:08.200 --> 01:02:08.620]  work.
[01:02:08.780 --> 01:02:09.160]  It is
[01:02:09.160 --> 01:02:09.420]  there.
[01:02:09.540 --> 01:02:09.820]  It is
[01:02:09.820 --> 01:02:10.260]  biased,
[01:02:10.460 --> 01:02:10.680]  right?
[01:02:10.760 --> 01:02:10.900]  So,
[01:02:10.960 --> 01:02:11.220]  that's
[01:02:11.220 --> 01:02:11.840]  your answer
[01:02:11.840 --> 01:02:12.480]  for your
[01:02:12.480 --> 01:02:13.120]  VCE.
[01:02:14.360 --> 01:02:15.280]  We have
[01:02:15.280 --> 01:02:16.280]  our IE
[01:02:16.280 --> 01:02:17.460]  and therefore
[01:02:17.460 --> 01:02:18.160]  we can
[01:02:18.160 --> 01:02:18.800]  substitute
[01:02:18.800 --> 01:02:19.680]  that into
[01:02:19.680 --> 01:02:20.680]  this particular
[01:02:20.680 --> 01:02:21.280]  equation
[01:02:21.280 --> 01:02:22.420]  and say
[01:02:22.420 --> 01:02:23.220]  that the
[01:02:23.220 --> 01:02:23.680]  power
[01:02:23.680 --> 01:02:24.480]  dissipation
[01:02:24.480 --> 01:02:25.900]  is simply
[01:02:25.900 --> 01:02:26.720]  equal to
[01:02:26.720 --> 01:02:28.820]  1.476
[01:02:28.820 --> 01:02:29.400]  milliamp
[01:02:29.400 --> 01:02:29.920]  peres
[01:02:29.920 --> 01:02:32.420]  times
[01:02:32.420 --> 01:02:34.920]  4.623
[01:02:34.920 --> 01:02:35.820]  volts
[01:02:35.820 --> 01:02:37.360]  and that
[01:02:37.360 --> 01:02:38.440]  gives us
[01:02:38.440 --> 01:02:47.660]  6.82
[01:02:47.660 --> 01:02:50.820]  milliwatt
[01:02:50.820 --> 01:02:51.040]  all right
[01:02:51.040 --> 01:02:54.780]  milliwatt
[01:02:54.780 --> 01:02:55.320]  okay
[01:02:55.320 --> 01:02:56.800]  there we go
[01:02:56.800 --> 01:02:58.040]  the answer
[01:02:58.040 --> 01:02:59.360]  all right
[01:02:59.360 --> 01:03:01.880]  the answer
[01:03:01.880 --> 01:03:02.520]  is there
[01:03:02.520 --> 01:03:04.860]  6.82
[01:03:04.860 --> 01:03:05.560]  milliwatt
[01:03:05.560 --> 01:03:07.340]  give or take
[01:03:07.340 --> 01:03:09.520]  questions
[01:03:09.520 --> 01:03:14.080]  all right
[01:03:14.080 --> 01:03:14.080] 
[01:03:14.080 --> 01:03:15.080]  all right
[01:03:15.080 --> 01:03:21.920]  well
[01:03:21.920 --> 01:03:22.720]  DC biasing
[01:03:22.720 --> 01:03:23.100]  is not
[01:03:23.100 --> 01:03:23.620]  really that
[01:03:23.620 --> 01:03:24.720]  if you have
[01:03:24.720 --> 01:03:25.500]  the formulas
[01:03:25.500 --> 01:03:25.960]  memorized
[01:03:25.960 --> 01:03:26.700]  you know
[01:03:26.700 --> 01:03:27.300]  you recognize
[01:03:27.300 --> 01:03:27.880]  the
[01:03:27.880 --> 01:03:29.000]  configuration
[01:03:29.000 --> 01:03:29.840]  and
[01:03:29.840 --> 01:03:30.920]  you have
[01:03:30.920 --> 01:03:31.880]  the formulas
[01:03:31.880 --> 01:03:32.320]  there
[01:03:32.320 --> 01:03:33.560]  and
[01:03:33.560 --> 01:03:34.400]  you're not
[01:03:34.400 --> 01:03:35.040]  too bad
[01:03:35.040 --> 01:03:36.020]  in recognizing
[01:03:36.020 --> 01:03:36.480]  that hey
[01:03:36.480 --> 01:03:36.820]  I can
[01:03:36.820 --> 01:03:37.320]  substitute
[01:03:37.320 --> 01:03:38.000]  this here
[01:03:38.000 --> 01:03:38.520]  and there
[01:03:38.520 --> 01:03:39.380]  and you'll
[01:03:39.380 --> 01:03:39.940]  be fine
[01:03:39.940 --> 01:03:41.300]  okay
[01:03:41.300 --> 01:03:41.920]  you'll be
[01:03:41.920 --> 01:03:42.300]  fine
[01:03:42.300 --> 01:03:43.680]  most of
[01:03:43.680 --> 01:03:44.100]  the time
[01:03:44.100 --> 01:03:44.420]  it will
[01:03:44.420 --> 01:03:45.360]  be a
[01:03:45.360 --> 01:03:45.800]  problem
[01:03:45.800 --> 01:03:46.300]  with
[01:03:46.300 --> 01:03:47.560]  you know
[01:03:47.560 --> 01:03:48.340]  more
[01:03:48.340 --> 01:03:48.900]  a problem
[01:03:48.900 --> 01:03:49.400]  with
[01:03:49.400 --> 01:03:49.640]  with
[01:03:49.640 --> 01:03:49.980]  these
[01:03:49.980 --> 01:03:50.320]  single
[01:03:50.320 --> 01:03:50.840]  transistor
[01:03:50.840 --> 01:03:51.660]  configurations
[01:03:51.660 --> 01:03:52.220]  it's
[01:03:52.220 --> 01:03:53.600]  not really
[01:03:53.600 --> 01:03:54.180]  difficult
[01:03:54.180 --> 01:03:55.340]  at all
[01:03:55.340 --> 01:03:56.220]  all right
[01:03:56.220 --> 01:03:56.940]  okay
[01:03:56.940 --> 01:03:58.020]  so there
[01:03:58.020 --> 01:03:58.380]  we go
[01:03:58.380 --> 01:03:59.260]  questions
[01:03:59.260 --> 01:04:00.060]  questions
[01:04:00.060 --> 01:04:00.360]  questions
[01:04:00.360 --> 01:04:01.260]  questions
[01:04:01.260 --> 01:04:01.260] 
[01:04:01.260 --> 01:04:03.660]  no questions
[01:04:03.660 --> 01:04:04.040]  I am
[01:04:04.040 --> 01:04:04.500]  forward
[01:04:04.500 --> 01:04:04.820]  no
[01:04:04.820 --> 01:04:05.060]  no
[01:04:05.060 --> 01:04:05.660]  slide
[01:04:05.660 --> 01:04:09.480]  I am
[01:04:09.480 --> 01:04:10.040]  forward
[01:04:10.040 --> 01:04:10.960]  slide
[01:04:10.960 --> 01:04:12.040]  okay
[01:04:12.040 --> 01:04:14.300]  last time
[01:04:14.300 --> 01:04:15.100]  and then
[01:04:15.100 --> 01:04:15.380]  you wait
[01:04:15.380 --> 01:04:15.640]  a few
[01:04:15.640 --> 01:04:16.340]  moments
[01:04:16.340 --> 01:04:19.640]  then
[01:04:19.640 --> 01:04:20.880]  it will
[01:04:20.880 --> 01:04:21.320]  be ready
[01:04:21.320 --> 01:04:21.700]  to go
[01:04:21.700 --> 01:04:22.140]  forward
[01:04:22.140 --> 01:04:22.920]  maybe
[01:04:22.920 --> 01:04:23.820]  right
[01:04:23.820 --> 01:04:24.660]  maybe I
[01:04:24.660 --> 01:04:24.900]  have to
[01:04:24.900 --> 01:04:25.120]  click
[01:04:25.120 --> 01:04:25.620]  something
[01:04:25.620 --> 01:04:28.760]  so
[01:04:28.760 --> 01:04:30.980]  show
[01:04:30.980 --> 01:04:31.280]  fans
[01:04:31.280 --> 01:04:31.780]  please
[01:04:31.780 --> 01:04:32.720]  thumbs up
[01:04:32.720 --> 01:04:33.180]  if there
[01:04:33.180 --> 01:04:33.460]  are no
[01:04:33.460 --> 01:04:33.780]  questions
[01:04:33.780 --> 01:04:34.520]  about this
[01:04:34.520 --> 01:04:35.180]  so far
[01:04:35.180 --> 01:04:35.780]  are we
[01:04:35.780 --> 01:04:36.140]  okay
[01:04:36.140 --> 01:04:38.300]  yeah
[01:04:38.300 --> 01:04:39.080]  all right
[01:04:39.080 --> 01:04:41.360]  now it's
[01:04:41.360 --> 01:04:42.080]  ready to go
[01:04:42.080 --> 01:04:44.200]  determine
[01:04:44.200 --> 01:04:44.820]  I sub
[01:04:44.820 --> 01:04:45.160]  B in
[01:04:45.160 --> 01:04:45.940]  microampere
[01:04:45.940 --> 01:04:46.320]  I sub
[01:04:46.320 --> 01:04:46.600]  C in
[01:04:46.600 --> 01:04:47.100]  microampere
[01:04:47.100 --> 01:04:47.720]  and V C
[01:04:47.720 --> 01:04:48.720]  in volts
[01:04:48.720 --> 01:04:49.340]  okay
[01:04:49.340 --> 01:04:50.420]  sandali
[01:04:50.420 --> 01:04:52.020]  let's
[01:04:52.020 --> 01:04:53.000]  erase everything
[01:04:53.000 --> 01:04:53.360]  here
[01:04:53.360 --> 01:04:54.080]  clear
[01:04:54.080 --> 01:04:58.040]  all right
[01:04:58.040 --> 01:05:01.540]  okay
[01:05:01.540 --> 01:05:02.760]  oh
[01:05:02.760 --> 01:05:03.340]  another one
[01:05:03.340 --> 01:05:03.660]  of these
[01:05:03.660 --> 01:05:04.000]  ah
[01:05:04.000 --> 01:05:05.680]  heh
[01:05:05.680 --> 01:05:06.440]  oh
[01:05:06.440 --> 01:05:07.560]  mahirap na
[01:05:07.560 --> 01:05:08.240]  ito
[01:05:08.240 --> 01:05:09.100]  oh
[01:05:09.100 --> 01:05:09.280]  sige
[01:05:09.280 --> 01:05:09.680]  try
[01:05:09.680 --> 01:05:10.080]  nyo
[01:05:10.080 --> 01:05:12.500]  might be
[01:05:12.500 --> 01:05:12.720]  a little
[01:05:12.720 --> 01:05:13.020]  bit
[01:05:13.020 --> 01:05:14.340]  this is
[01:05:14.340 --> 01:05:14.760]  just one
[01:05:14.760 --> 01:05:15.200]  of those
[01:05:15.200 --> 01:05:15.780]  it's just
[01:05:15.780 --> 01:05:17.320]  a variation
[01:05:17.320 --> 01:05:18.600]  or variant
[01:05:18.600 --> 01:05:19.120]  in terms
[01:05:19.120 --> 01:05:19.560]  of the
[01:05:19.560 --> 01:05:20.800]  supply
[01:05:20.800 --> 01:05:21.320]  voltage
[01:05:21.320 --> 01:05:21.960]  maybe
[01:05:21.960 --> 01:05:22.460]  it looks
[01:05:22.460 --> 01:05:22.780]  a little
[01:05:22.780 --> 01:05:23.780]  bit strange
[01:05:23.780 --> 01:05:24.340]  but you
[01:05:24.340 --> 01:05:24.560]  know
[01:05:24.560 --> 01:05:25.080]  this is
[01:05:25.080 --> 01:05:25.540]  perfectly
[01:05:25.540 --> 01:05:26.020]  valid
[01:05:26.020 --> 01:05:26.680]  this will
[01:05:26.680 --> 01:05:27.140]  work
[01:05:27.140 --> 01:05:28.080]  transistor
[01:05:28.080 --> 01:05:28.620]  is quite
[01:05:28.620 --> 01:05:29.040]  happy
[01:05:29.040 --> 01:05:29.440]  it doesn't
[01:05:29.440 --> 01:05:30.100]  really care
[01:05:30.100 --> 01:05:31.180]  about
[01:05:31.180 --> 01:05:32.740]  you know
[01:05:32.740 --> 01:05:35.760]  absolute
[01:05:35.760 --> 01:05:36.380]  voltages
[01:05:36.380 --> 01:05:37.000]  as long
[01:05:37.000 --> 01:05:37.340]  as the
[01:05:37.340 --> 01:05:37.780]  voltages
[01:05:37.780 --> 01:05:38.540]  are
[01:05:38.540 --> 01:05:39.780]  are
[01:05:39.780 --> 01:05:40.780]  correctly
[01:05:40.780 --> 01:05:41.580]  applied
[01:05:41.580 --> 01:05:42.160]  and it's
[01:05:42.160 --> 01:05:42.500]  within
[01:05:42.500 --> 01:05:42.860]  its
[01:05:42.860 --> 01:05:44.440]  operating
[01:05:44.440 --> 01:05:46.040]  parameters
[01:05:46.040 --> 01:05:47.460]  all right
[01:05:47.460 --> 01:05:47.760]  then
[01:05:47.760 --> 01:05:48.460]  it
[01:05:48.460 --> 01:05:49.420]  doesn't
[01:05:49.420 --> 01:05:49.640]  really
[01:05:49.640 --> 01:05:50.000]  care
[01:05:50.000 --> 01:05:50.380]  it
[01:05:50.380 --> 01:05:50.880]  should
[01:05:50.880 --> 01:05:51.200]  work
[01:05:51.200 --> 01:05:51.700]  properly
[01:05:51.700 --> 01:05:52.060]  so
[01:05:52.060 --> 01:05:53.040]  the only
[01:05:53.040 --> 01:05:54.100]  problem
[01:05:54.100 --> 01:05:54.540]  that you're
[01:05:54.540 --> 01:05:54.700]  going to
[01:05:54.700 --> 01:05:55.100]  have here
[01:05:55.100 --> 01:05:55.420]  is your
[01:05:55.420 --> 01:05:55.640]  own
[01:05:55.640 --> 01:05:55.980]  brain
[01:05:55.980 --> 01:05:56.280]  not
[01:05:56.280 --> 01:05:56.900]  accepting
[01:05:56.900 --> 01:05:57.500]  and not
[01:05:57.500 --> 01:05:58.420]  understanding
[01:05:58.420 --> 01:05:59.040]  how to
[01:05:59.040 --> 01:06:00.080]  rewrite
[01:06:00.080 --> 01:06:00.720]  or
[01:06:00.720 --> 01:06:02.880]  re-reference
[01:06:02.880 --> 01:06:03.740]  your
[01:06:03.740 --> 01:06:07.660]  calculations
[01:06:07.660 --> 01:06:09.980]  to be
[01:06:09.980 --> 01:06:10.540]  able to
[01:06:10.540 --> 01:06:10.980]  get the
[01:06:10.980 --> 01:06:11.360]  correct
[01:06:11.360 --> 01:06:11.900]  answer
[01:06:11.900 --> 01:06:12.440]  it's
[01:06:12.440 --> 01:06:13.060]  basically
[01:06:13.060 --> 01:06:13.820]  the
[01:06:13.820 --> 01:06:14.300]  formulas
[01:06:14.300 --> 01:06:14.740]  are not
[01:06:14.740 --> 01:06:15.140]  going to
[01:06:15.140 --> 01:06:15.840]  change
[01:06:15.840 --> 01:06:16.620]  all right
[01:06:16.620 --> 01:06:17.300]  formulas
[01:06:17.300 --> 01:06:17.740]  are not
[01:06:17.740 --> 01:06:18.120]  going to
[01:06:18.120 --> 01:06:18.660]  change
[01:06:18.660 --> 01:06:19.420]  it's
[01:06:19.420 --> 01:06:19.880]  exactly
[01:06:19.880 --> 01:06:20.400]  the same
[01:06:20.400 --> 01:06:20.840]  set of
[01:06:20.840 --> 01:06:21.340]  formulas
[01:06:21.340 --> 01:06:22.400]  it's just
[01:06:22.400 --> 01:06:22.940]  the question
[01:06:22.940 --> 01:06:23.860]  of how
[01:06:23.860 --> 01:06:24.260]  do you
[01:06:24.260 --> 01:06:24.960]  reference
[01:06:24.960 --> 01:06:25.460]  the
[01:06:25.460 --> 01:06:25.960]  voltages
[01:06:25.960 --> 01:06:27.340]  all right
[01:06:27.340 --> 01:06:33.360]  all right
[01:06:33.360 --> 01:06:33.580]  so
[01:06:33.580 --> 01:06:34.080]  looking at
[01:06:34.080 --> 01:06:34.480]  this
[01:06:34.480 --> 01:06:35.220]  all right
[01:06:35.220 --> 01:06:35.560]  the
[01:06:35.560 --> 01:06:36.640]  main
[01:06:36.640 --> 01:06:37.200]  difference
