[00:00.000 --> 00:15.120]  Don't hesitate to let me know so that your questions can be properly addressed.
[01:06:09.920 --> 01:06:12.080]  you have this unknown value,
[01:06:12.080 --> 01:06:14.760]  which is the forward voltage of the diode.
[01:06:14.760 --> 01:06:16.860]  Now, the problem here is
[01:06:16.860 --> 01:06:18.720]  the forward voltage of the diode
[01:06:18.720 --> 01:06:22.020]  is also dependent on how much current
[01:06:22.020 --> 01:06:23.840]  is flowing through the diode.
[01:06:24.420 --> 01:06:27.400]  So depende sa current na nagpo-flow sa diode,
[01:06:28.180 --> 01:06:31.300]  iba-iba ang forward voltage niya.
[01:06:32.160 --> 01:06:32.660]  Gets nyo?
[01:06:33.160 --> 01:06:33.500]  All right?
[01:06:34.260 --> 01:06:36.160]  So chicken and egg problem.
[01:06:36.160 --> 01:06:38.480]  Deb, you're actually attempting to solve
[01:06:38.480 --> 01:06:40.800]  for two variables, all right,
[01:06:41.300 --> 01:06:47.760]  because these two are actually interactive
[01:06:47.760 --> 01:06:50.060]  or related to each other
[01:06:50.060 --> 01:06:52.620]  because of this transfer function.
[01:06:53.300 --> 01:06:53.540]  Okay?
[01:06:54.100 --> 01:06:56.940]  So that's why, all right,
[01:06:57.460 --> 01:07:01.120]  we have this load line analysis.
[01:07:01.120 --> 01:07:02.120]  Okay?
[01:07:05.000 --> 01:07:07.040]  That's why we have this load line analysis
[01:07:07.040 --> 01:07:09.660]  because it allows you to solve
[01:07:09.660 --> 01:07:14.160]  for these interactive linear,
[01:07:14.480 --> 01:07:16.540]  semi-linear equations, all right,
[01:07:17.020 --> 01:07:21.140]  by just doing something extremely simple.
[01:07:21.680 --> 01:07:22.620]  All right?
[01:07:22.980 --> 01:07:25.620]  Which is basically as follows.
[01:07:26.620 --> 01:07:29.500]  We draw a straight line.
[01:07:29.500 --> 01:07:31.800]  So here's that transfer function.
[01:07:32.860 --> 01:07:33.160]  Okay?
[01:07:33.860 --> 01:07:36.020]  We draw a straight line
[01:07:36.020 --> 01:07:40.620]  from the maximum possible current,
[01:07:41.000 --> 01:07:45.880]  which is voltage divided by the resistance,
[01:07:46.700 --> 01:07:51.140]  ignoring the voltage drop across the diode.
[01:07:51.500 --> 01:07:54.480]  That gives you your maximum possible current.
[01:07:55.640 --> 01:07:56.240]  Okay?
[01:07:56.240 --> 01:08:00.440]  And drawing a line all the way down to here
[01:08:00.440 --> 01:08:04.240]  where the current across the diode is zero.
[01:08:05.240 --> 01:08:05.800]  Okay?
[01:08:06.320 --> 01:08:08.920]  And the basis of where you put this
[01:08:08.920 --> 01:08:10.560]  is essentially just simply
[01:08:10.560 --> 01:08:14.740]  the maximum voltage that the system has.
[01:08:14.980 --> 01:08:16.040]  In this case,
[01:08:16.620 --> 01:08:18.640]  it would be 10 volts
[01:08:18.640 --> 01:08:20.460]  because that's what we assume here.
[01:08:21.060 --> 01:08:21.300]  Okay?
[01:08:21.400 --> 01:08:22.580]  Ito yung 10 volts natin.
[01:08:22.580 --> 01:08:25.120]  So that's where you put the other line.
[01:08:25.120 --> 01:08:28.720]  So here it is the maximum possible current.
[01:08:29.160 --> 01:08:29.840]  Over here,
[01:08:29.920 --> 01:08:32.200]  it's the maximum possible voltage.
[01:08:32.640 --> 01:08:33.700]  You draw a line
[01:08:33.700 --> 01:08:35.940]  and you see where it intersects.
[01:08:36.820 --> 01:08:38.940]  And that intersection point,
[01:08:39.540 --> 01:08:40.020]  magically,
[01:08:40.980 --> 01:08:42.820]  will be the current
[01:08:42.820 --> 01:08:45.100]  that is going to flow through the diode
[01:08:45.100 --> 01:08:50.080]  and the expected voltage
[01:08:50.080 --> 01:08:51.560]  across the diode.
[01:08:52.200 --> 01:08:52.540]  Okay?
[01:08:52.540 --> 01:08:53.540]  That's it.
[01:08:54.200 --> 01:08:56.880]  So you've solved this problem
[01:08:56.880 --> 01:09:02.780]  without actually doing the complex equation at all
[01:09:02.780 --> 01:09:04.640]  and not being able to figure out
[01:09:04.640 --> 01:09:06.780]  ano kaya magiging forward voltage niyan
[01:09:06.780 --> 01:09:08.200]  kasi hindi ko alam
[01:09:08.200 --> 01:09:09.760]  kung ano yung current nadadaan.
[01:09:10.220 --> 01:09:10.480]  All right?
[01:09:10.560 --> 01:09:12.520]  And it turns out that it's just simply that.
[01:09:12.820 --> 01:09:15.080]  You can use just simply
[01:09:15.080 --> 01:09:17.140]  the maximum possible current
[01:09:17.140 --> 01:09:18.440]  with the assumption
[01:09:18.440 --> 01:09:20.900]  that the diode's voltage is zero.
[01:09:20.900 --> 01:09:21.920]  All right?
[01:09:22.280 --> 01:09:25.060]  As well as the maximum possible voltage
[01:09:25.060 --> 01:09:26.320]  across the diode,
[01:09:27.200 --> 01:09:28.300]  draw a straight line
[01:09:28.300 --> 01:09:30.140]  and the intersection point
[01:09:30.140 --> 01:09:32.020]  gives you your answer.
[01:09:33.140 --> 01:09:33.500]  Okay?
[01:09:33.800 --> 01:09:35.120]  So this is what we call
[01:09:35.120 --> 01:09:36.700]  as load line analysis.
[01:09:37.600 --> 01:09:38.100]  So you notice,
[01:09:38.560 --> 01:09:40.100]  it's very easy to use
[01:09:40.100 --> 01:09:43.520]  and it rapidly gives you the answer.
[01:09:44.160 --> 01:09:45.180]  The only problem,
[01:09:45.360 --> 01:09:45.640]  of course,
[01:09:45.700 --> 01:09:46.620]  with it is that
[01:09:46.620 --> 01:09:48.860]  it is reliant on you
[01:09:48.860 --> 01:09:50.280]  being able to estimate
[01:09:50.280 --> 01:09:51.280]  the values
[01:09:51.280 --> 01:09:52.840]  and the accuracy
[01:09:52.840 --> 01:09:54.680]  of the graph itself.
[01:09:55.180 --> 01:09:55.480]  Okay?
[01:09:55.720 --> 01:09:57.240]  So this is like
[01:09:57.240 --> 01:09:58.880]  looking at the oscilloscope
[01:09:58.880 --> 01:10:00.280]  and squinting
[01:10:00.280 --> 01:10:00.780]  and saying,
[01:10:00.920 --> 01:10:01.920]  ah, more or less,
[01:10:02.000 --> 01:10:03.200]  ito yung voltage niyan
[01:10:03.200 --> 01:10:05.180]  based on where it's intersecting,
[01:10:05.280 --> 01:10:05.800]  more or less,
[01:10:05.920 --> 01:10:06.580]  ito yung voltage.
[01:10:06.900 --> 01:10:07.060]  Okay?
[01:10:07.060 --> 01:10:08.480]  You notice that you can get
[01:10:08.480 --> 01:10:08.800]  a more,
[01:10:09.100 --> 01:10:10.500]  possibly more accurate answer
[01:10:10.500 --> 01:10:11.860]  if you've had the oscilloscope
[01:10:11.860 --> 01:10:13.400]  with the cursors
[01:10:13.400 --> 01:10:14.420]  and you're able to move
[01:10:14.420 --> 01:10:15.020]  the cursors
[01:10:15.020 --> 01:10:15.840]  because that's
[01:10:15.840 --> 01:10:16.980]  going to give you
[01:10:16.980 --> 01:10:17.800]  a more exact,
[01:10:18.060 --> 01:10:18.600]  you know,
[01:10:18.700 --> 01:10:19.580]  a straighter line
[01:10:19.580 --> 01:10:20.140]  or whatever.
[01:10:20.640 --> 01:10:21.760]  But I guess
[01:10:21.760 --> 01:10:22.840]  it's the same thing here.
[01:10:23.300 --> 01:10:24.140]  You have to have
[01:10:24.140 --> 01:10:25.640]  an accurate graph.
[01:10:26.160 --> 01:10:27.100]  You have to have
[01:10:27.100 --> 01:10:29.220]  a good graph
[01:10:29.220 --> 01:10:31.220]  that is properly scaled.
[01:10:31.800 --> 01:10:32.440]  All right?
[01:10:32.440 --> 01:10:33.980]  It's properly scaled
[01:10:33.980 --> 01:10:35.900]  and you have to have
[01:10:35.900 --> 01:10:37.220]  good eyes
[01:10:37.220 --> 01:10:38.920]  and good approximation
[01:10:38.920 --> 01:10:41.360]  to get the answer.
[01:10:41.720 --> 01:10:42.480]  But at least,
[01:10:42.680 --> 01:10:42.980]  all right,
[01:10:43.080 --> 01:10:43.900]  it gives you
[01:10:43.900 --> 01:10:45.700]  a pretty good approximation
[01:10:45.700 --> 01:10:47.660]  of the answer.
[01:10:48.680 --> 01:10:48.860]  Okay?
[01:10:49.340 --> 01:10:49.800]  So,
[01:10:51.560 --> 01:10:52.560]  oops!
[01:10:53.040 --> 01:10:53.740]  And of course,
[01:10:54.080 --> 01:10:54.860]  here I am again.
[01:10:54.980 --> 01:10:55.700]  This is exactly
[01:10:55.700 --> 01:10:56.560]  what has happened.
[01:10:57.080 --> 01:10:57.360]  Okay?
[01:10:58.420 --> 01:10:59.560]  I've gone ahead
[01:10:59.560 --> 01:11:00.600]  and told you all
[01:11:00.600 --> 01:11:01.880]  about what is happening
[01:11:01.880 --> 01:11:03.080]  here on this slide.
[01:11:04.760 --> 01:11:05.020]  Okay?
[01:11:07.300 --> 01:11:07.860]  So,
[01:11:08.120 --> 01:11:09.220]  as you notice,
[01:11:09.780 --> 01:11:10.140]  okay,
[01:11:10.800 --> 01:11:11.580]  the problem,
[01:11:12.360 --> 01:11:15.120]  you can get
[01:11:15.120 --> 01:11:15.980]  the result,
[01:11:16.420 --> 01:11:16.920]  all right,
[01:11:17.240 --> 01:11:18.140]  if you have
[01:11:18.140 --> 01:11:19.720]  your intersection
[01:11:19.720 --> 01:11:20.440]  points.
[01:11:21.080 --> 01:11:21.400]  So,
[01:11:21.580 --> 01:11:22.580]  when the diode
[01:11:22.580 --> 01:11:23.720]  voltage is
[01:11:23.720 --> 01:11:24.480]  zero,
[01:11:25.000 --> 01:11:25.860]  you're going to get
[01:11:25.860 --> 01:11:27.140]  a maximum current
[01:11:27.140 --> 01:11:28.720]  of voltage
[01:11:28.720 --> 01:11:29.720]  source
[01:11:29.720 --> 01:11:30.960]  divided by
[01:11:30.960 --> 01:11:31.620]  resistance
[01:11:31.620 --> 01:11:32.260]  alone,
[01:11:32.900 --> 01:11:33.420]  that's where
[01:11:33.420 --> 01:11:33.860]  you'll put
[01:11:33.860 --> 01:11:34.560]  this particular
[01:11:34.560 --> 01:11:35.040]  point.
[01:11:35.240 --> 01:11:35.660]  This is
[01:11:35.660 --> 01:11:36.680]  E
[01:11:36.680 --> 01:11:37.440]  over
[01:11:37.440 --> 01:11:38.280]  R,
[01:11:38.940 --> 01:11:39.340]  all right?
[01:11:39.460 --> 01:11:40.560]  And when
[01:11:40.560 --> 01:11:41.160]  the current
[01:11:41.160 --> 01:11:41.880]  across the diode
[01:11:41.880 --> 01:11:42.540]  is zero,
[01:11:42.920 --> 01:11:43.800]  it will be
[01:11:43.800 --> 01:11:44.440]  when
[01:11:44.440 --> 01:11:47.480]  the voltage
[01:11:47.480 --> 01:11:47.920]  alone
[01:11:47.920 --> 01:11:48.680]  is being assumed.
[01:11:48.780 --> 01:11:49.080]  That's where
[01:11:49.080 --> 01:11:49.620]  you're going to put
[01:11:49.620 --> 01:11:50.380]  that other point
[01:11:50.380 --> 01:11:51.100]  and then you just
[01:11:51.100 --> 01:11:52.520]  draw the line.
[01:11:53.040 --> 01:11:53.180]  Okay?
[01:11:53.820 --> 01:11:54.220]  All right.
[01:11:54.220 --> 01:11:55.540]  So,
[01:11:55.680 --> 01:11:56.440]  plotting the two
[01:11:56.440 --> 01:11:57.260]  points where
[01:11:57.260 --> 01:11:58.000]  V sub
[01:11:58.000 --> 01:11:59.300]  D is equal
[01:11:59.300 --> 01:11:59.860]  to zero
[01:11:59.860 --> 01:12:00.600]  and I sub
[01:12:00.600 --> 01:12:01.180]  D is equal
[01:12:01.180 --> 01:12:01.620]  to zero
[01:12:01.620 --> 01:12:02.320]  on the curve
[01:12:02.320 --> 01:12:03.720]  will give
[01:12:03.720 --> 01:12:04.520]  you the
[01:12:04.520 --> 01:12:05.700]  diode operating
[01:12:05.700 --> 01:12:06.380]  point or
[01:12:06.380 --> 01:12:07.040]  coefficient
[01:12:07.040 --> 01:12:07.600]  point,
[01:12:07.740 --> 01:12:08.220]  Q point.
[01:12:09.500 --> 01:12:09.780]  Okay?
[01:12:10.700 --> 01:12:11.440]  All right?
[01:12:12.800 --> 01:12:13.380]  So,
[01:12:13.460 --> 01:12:14.100]  the technique
[01:12:14.100 --> 01:12:15.580]  solves a
[01:12:15.580 --> 01:12:16.520]  dual equation
[01:12:16.520 --> 01:12:18.540]  graphically.
[01:12:18.540 --> 01:12:19.660]  All right?
[01:12:19.740 --> 01:12:19.860]  So,
[01:12:19.940 --> 01:12:20.340]  there you go
[01:12:20.340 --> 01:12:20.740]  with that.
[01:12:23.460 --> 01:12:24.100]  So,
[01:12:24.180 --> 01:12:24.540]  here's an
[01:12:24.540 --> 01:12:24.940]  example.
[01:12:26.380 --> 01:12:26.640]  Okay?
[01:12:26.760 --> 01:12:27.840]  Example of
[01:12:27.840 --> 01:12:29.320]  using our
[01:12:29.320 --> 01:12:32.360]  graphic
[01:12:32.360 --> 01:12:33.000]  technique.
[01:12:33.600 --> 01:12:33.880]  All right?
[01:12:34.680 --> 01:12:35.360]  Determine
[01:12:35.360 --> 01:12:36.640]  VDQ,
[01:12:36.920 --> 01:12:38.000]  IDQ,
[01:12:38.220 --> 01:12:38.500]  and
[01:12:38.500 --> 01:12:39.520]  V sub
[01:12:39.520 --> 01:12:39.980]  R.
[01:12:41.100 --> 01:12:41.440]  Okay?
[01:12:43.440 --> 01:12:44.200]  All right?
[01:12:44.780 --> 01:12:45.220]  Sige nga,
[01:12:45.340 --> 01:12:45.900]  itry nga
[01:12:45.900 --> 01:12:46.460]  natin.
[01:12:47.020 --> 01:12:47.400]  All right?
[01:12:47.400 --> 01:12:48.880]  Determine
[01:12:48.880 --> 01:12:50.000]  VBQ,
[01:12:50.260 --> 01:12:50.900]  IDQ,
[01:12:51.080 --> 01:12:51.500]  and V sub
[01:12:51.500 --> 01:12:51.660]  R.
[01:12:51.760 --> 01:12:51.880]  So,
[01:12:52.000 --> 01:12:52.400]  what is
[01:12:52.400 --> 01:12:53.060]  VBQ
[01:12:53.060 --> 01:12:53.420]  again?
[01:12:54.460 --> 01:12:55.100]  VBQ
[01:12:55.100 --> 01:12:55.860]  is the
[01:12:55.860 --> 01:12:56.400]  diode
[01:12:56.400 --> 01:12:58.160]  voltage
[01:12:58.160 --> 01:12:59.300]  coefficient
[01:12:59.300 --> 01:12:59.880]  point.
[01:13:00.300 --> 01:13:00.580]  All right?
[01:13:00.660 --> 01:13:01.280]  We're assuming
[01:13:01.280 --> 01:13:01.760]  in this
[01:13:01.760 --> 01:13:02.220]  case that
[01:13:02.220 --> 01:13:02.740]  it will be
[01:13:02.740 --> 01:13:03.560]  forward bias.
[01:13:04.500 --> 01:13:05.280]  What is
[01:13:05.280 --> 01:13:06.620]  the current
[01:13:06.620 --> 01:13:07.900]  that's expected
[01:13:07.900 --> 01:13:08.820]  to flow
[01:13:08.820 --> 01:13:09.800]  across the
[01:13:09.800 --> 01:13:10.180]  diode
[01:13:10.180 --> 01:13:10.940]  at that
[01:13:10.940 --> 01:13:11.380]  coefficient
[01:13:11.380 --> 01:13:11.880]  point?
[01:13:12.620 --> 01:13:13.800]  And what
[01:13:13.800 --> 01:13:14.140]  is the
[01:13:14.140 --> 01:13:14.680]  resulting
[01:13:14.680 --> 01:13:16.020]  voltage
[01:13:16.020 --> 01:13:16.720]  across
[01:13:16.720 --> 01:13:17.160]  the
[01:13:17.160 --> 01:13:17.620]  resistor?
[01:13:18.800 --> 01:13:19.180]  Okay?
[01:13:19.380 --> 01:13:20.260]  For the
[01:13:20.260 --> 01:13:21.020]  given values
[01:13:21.020 --> 01:13:21.240]  here,
[01:13:21.300 --> 01:13:21.820]  you'll notice
[01:13:21.820 --> 01:13:22.620]  that E
[01:13:22.620 --> 01:13:23.780]  is equal
[01:13:23.780 --> 01:13:24.340]  to 10
[01:13:24.340 --> 01:13:24.860]  volts,
[01:13:25.880 --> 01:13:26.700]  R is
[01:13:26.700 --> 01:13:27.340]  equal to
[01:13:27.340 --> 01:13:28.040]  1K
[01:13:28.040 --> 01:13:28.820]  ohm.
[01:13:28.820 --> 01:13:29.300]  All right?
[01:13:30.440 --> 01:13:31.760]  And we're
[01:13:31.760 --> 01:13:32.100]  on the
[01:13:32.100 --> 01:13:32.420]  assumption
[01:13:32.420 --> 01:13:33.000]  here that
[01:13:33.000 --> 01:13:33.400]  we have
[01:13:33.400 --> 01:13:34.220]  a relatively
[01:13:34.220 --> 01:13:35.260]  accurate
[01:13:35.260 --> 01:13:38.600]  transfer
[01:13:38.600 --> 01:13:39.220]  function
[01:13:39.220 --> 01:13:40.520]  being
[01:13:40.520 --> 01:13:40.980]  shown.
[01:13:42.400 --> 01:13:42.720]  All right?
[01:13:42.720 --> 01:13:43.200]  okay.
[01:13:43.380 --> 01:13:43.660]  So,
[01:13:44.480 --> 01:13:45.260]  as you
[01:13:45.260 --> 01:13:45.560]  can see,
[01:13:45.680 --> 01:13:46.040]  it's already
[01:13:46.040 --> 01:13:46.700]  been partially
[01:13:46.700 --> 01:13:47.220]  solved
[01:13:47.220 --> 01:13:47.560]  here.
[01:13:50.880 --> 01:13:51.960]  We can
[01:13:51.960 --> 01:13:52.800]  determine
[01:13:52.800 --> 01:13:54.340]  the
[01:13:54.340 --> 01:13:55.220]  maximum
[01:13:55.220 --> 01:13:55.860]  current
[01:13:55.860 --> 01:13:57.040]  I
[01:13:57.040 --> 01:13:58.100]  max
[01:13:58.100 --> 01:13:59.960]  is equal
[01:13:59.960 --> 01:14:00.420]  to,
[01:14:00.760 --> 01:14:01.180]  all right?
[01:14:01.340 --> 01:14:01.820]  Ano ba ang
[01:14:01.820 --> 01:14:02.260]  maximum
[01:14:02.260 --> 01:14:02.680]  current?
[01:14:03.020 --> 01:14:03.220]  Well,
[01:14:03.460 --> 01:14:03.960]  the maximum
[01:14:03.960 --> 01:14:04.520]  current
[01:14:04.520 --> 01:14:05.320]  happens
[01:14:05.320 --> 01:14:06.560]  when
[01:14:06.560 --> 01:14:08.620]  V sub
[01:14:08.620 --> 01:14:09.660]  V is
[01:14:09.660 --> 01:14:10.400]  equal to
[01:14:10.400 --> 01:14:10.740]  zero.
[01:14:10.940 --> 01:14:11.320]  The diode
[01:14:11.320 --> 01:14:11.780]  forward
[01:14:11.780 --> 01:14:12.440]  voltage
[01:14:12.440 --> 01:14:13.400]  is zero.
[01:14:14.300 --> 01:14:14.600]  And so,
[01:14:14.720 --> 01:14:15.220]  that is
[01:14:15.220 --> 01:14:15.580]  simply
[01:14:15.580 --> 01:14:16.340]  equal to,
[01:14:16.460 --> 01:14:17.140]  if voltage
[01:14:17.140 --> 01:14:17.740]  across the
[01:14:17.740 --> 01:14:18.220]  diode is
[01:14:18.220 --> 01:14:18.520]  zero
[01:14:18.520 --> 01:14:18.960]  volts,
[01:14:19.400 --> 01:14:20.240]  then the
[01:14:20.240 --> 01:14:21.380]  full voltage
[01:14:21.380 --> 01:14:22.680]  gets impressed
[01:14:22.680 --> 01:14:23.900]  across the
[01:14:23.900 --> 01:14:24.320]  resistor.
[01:14:24.560 --> 01:14:25.040]  This is going
[01:14:25.040 --> 01:14:25.540]  to be equal
[01:14:25.540 --> 01:14:25.980]  to 10
[01:14:25.980 --> 01:14:26.400]  volts,
[01:14:26.980 --> 01:14:27.280]  all right?
[01:14:27.280 --> 01:14:27.660]  And so,
[01:14:27.760 --> 01:14:28.040]  therefore,
[01:14:28.680 --> 01:14:29.340]  the current
[01:14:29.340 --> 01:14:30.800]  through the
[01:14:30.800 --> 01:14:31.260]  circuit
[01:14:31.260 --> 01:14:32.460]  is going
[01:14:32.460 --> 01:14:32.840]  to be
[01:14:32.840 --> 01:14:33.520]  equal to
[01:14:33.520 --> 01:14:34.420]  10
[01:14:34.420 --> 01:14:35.220]  mA.
[01:14:36.220 --> 01:14:36.820]  Okay?
[01:14:37.240 --> 01:14:37.480]  So,
[01:14:37.540 --> 01:14:38.160]  that's why
[01:14:38.160 --> 01:14:38.820]  there's this
[01:14:38.820 --> 01:14:39.500]  dotted line
[01:14:39.500 --> 01:14:39.740]  here,
[01:14:39.860 --> 01:14:40.500]  kasi ito na yung
[01:14:40.500 --> 01:14:40.980]  sagot,
[01:14:41.560 --> 01:14:42.080]  partially.
[01:14:42.800 --> 01:14:43.020]  Okay?
[01:14:43.860 --> 01:14:44.220]  So,
[01:14:44.300 --> 01:14:45.160]  at 10 mA,
[01:14:45.440 --> 01:14:45.980]  the forward
[01:14:45.980 --> 01:14:46.540]  conduction
[01:14:46.540 --> 01:14:47.380]  of the diode
[01:14:47.380 --> 01:14:47.660]  is going
[01:14:47.660 --> 01:14:47.960]  to be
[01:14:47.960 --> 01:14:48.780]  0.8
[01:14:48.780 --> 01:14:49.140]  volts
[01:14:49.140 --> 01:14:49.700]  according
[01:14:49.700 --> 01:14:50.240]  to this
[01:14:50.240 --> 01:14:50.520]  graph.
[01:14:50.620 --> 01:14:51.120]  But that's
[01:14:51.120 --> 01:14:51.780]  not where
[01:14:51.780 --> 01:14:52.180]  it's going
[01:14:52.180 --> 01:14:52.540]  to be.
[01:14:52.860 --> 01:14:53.200]  That's
[01:14:53.200 --> 01:14:53.960]  not our
[01:14:53.960 --> 01:14:55.020]  IDQ.
[01:14:56.020 --> 01:14:56.120]  Okay?
[01:14:56.280 --> 01:14:56.780]  Hindi pa yan
[01:14:56.780 --> 01:14:57.740]  IDQ
[01:14:57.740 --> 01:14:58.520]  at hindi yan
[01:14:58.520 --> 01:14:59.500]  ang VDQ
[01:14:59.500 --> 01:15:00.240]  na in-expect
[01:15:00.240 --> 01:15:00.740]  natin
[01:15:00.740 --> 01:15:01.960]  kasi hindi pa
[01:15:01.960 --> 01:15:02.280]  natin
[01:15:02.280 --> 01:15:02.840]  ginagawa
[01:15:02.840 --> 01:15:03.480]  yung load
[01:15:03.480 --> 01:15:03.900]  line.
[01:15:04.680 --> 01:15:04.960]  All right?
[01:15:05.360 --> 01:15:05.560]  So,
[01:15:05.660 --> 01:15:06.060]  we have
[01:15:06.060 --> 01:15:06.820]  to determine
[01:15:06.820 --> 01:15:09.280]  to get
[01:15:09.280 --> 01:15:09.920]  your
[01:15:09.920 --> 01:15:11.020]  E
[01:15:11.020 --> 01:15:12.400]  max,
[01:15:12.880 --> 01:15:13.320]  all right,
[01:15:13.680 --> 01:15:14.080]  which is
[01:15:14.080 --> 01:15:14.860]  equal to
[01:15:14.860 --> 01:15:15.840]  a certain
[01:15:15.840 --> 01:15:16.420]  value
[01:15:16.420 --> 01:15:17.420]  where
[01:15:17.420 --> 01:15:18.100]  our
[01:15:18.100 --> 01:15:18.880]  I
[01:15:18.880 --> 01:15:19.520]  across
[01:15:19.520 --> 01:15:20.020]  the
[01:15:20.020 --> 01:15:21.140]  diode
[01:15:21.140 --> 01:15:21.580]  is
[01:15:21.580 --> 01:15:22.240]  0.
[01:15:22.820 --> 01:15:23.220]  Okay?
[01:15:23.300 --> 01:15:23.740]  And that
[01:15:23.740 --> 01:15:24.500]  will happen.
[01:15:24.820 --> 01:15:25.120]  I
[01:15:25.120 --> 01:15:25.780]  is equal
[01:15:25.780 --> 01:15:26.320]  to 0.
[01:15:26.320 --> 01:15:26.600]  That
[01:15:26.600 --> 01:15:26.760]  will
[01:15:26.760 --> 01:15:27.220]  happen
[01:15:27.220 --> 01:15:28.460]  when
[01:15:28.460 --> 01:15:29.080]  there's
[01:15:29.080 --> 01:15:29.760]  basically
[01:15:29.760 --> 01:15:30.080]  no
[01:15:30.080 --> 01:15:30.340]  current
[01:15:30.340 --> 01:15:30.680]  flowing.
[01:15:30.900 --> 01:15:31.120]  Therefore,
[01:15:31.360 --> 01:15:31.480]  the
[01:15:31.480 --> 01:15:34.820]  maximum
[01:15:34.820 --> 01:15:35.380]  voltage
[01:15:35.380 --> 01:15:35.740]  across
[01:15:35.740 --> 01:15:35.960]  the
[01:15:35.960 --> 01:15:36.300]  diode
[01:15:36.300 --> 01:15:36.540]  when
[01:15:36.540 --> 01:15:36.820]  there's
[01:15:36.820 --> 01:15:37.000]  no
[01:15:37.000 --> 01:15:37.240]  current
[01:15:37.240 --> 01:15:37.640]  flowing
[01:15:37.640 --> 01:15:38.200]  is
[01:15:38.200 --> 01:15:38.420]  going
[01:15:38.420 --> 01:15:38.560]  to
[01:15:38.560 --> 01:15:38.760]  be
[01:15:38.760 --> 01:15:39.080]  equal
[01:15:39.080 --> 01:15:39.320]  to
[01:15:39.320 --> 01:15:39.980]  10
[01:15:39.980 --> 01:15:40.580]  volts.
[01:15:41.060 --> 01:15:41.320]  All right?
[01:15:41.440 --> 01:15:41.800]  So,
[01:15:42.560 --> 01:15:42.980]  that
[01:15:42.980 --> 01:15:43.540]  is
[01:15:43.540 --> 01:15:43.880]  going
[01:15:43.880 --> 01:15:44.260]  to be
[01:15:44.260 --> 01:15:44.700]  somewhere
[01:15:44.700 --> 01:15:45.400]  over
[01:15:45.400 --> 01:15:46.120]  there
[01:15:46.120 --> 01:15:46.500]  at
[01:15:46.500 --> 01:15:46.720]  10
[01:15:46.720 --> 01:15:46.940]  volts
[01:15:46.940 --> 01:15:47.200]  and then
[01:15:47.200 --> 01:15:47.360]  you'll
[01:15:47.360 --> 01:15:47.500]  have
[01:15:47.500 --> 01:15:47.640]  to
[01:15:47.640 --> 01:15:47.880]  draw
[01:15:47.880 --> 01:15:48.120]  the
[01:15:48.120 --> 01:15:48.540]  line.
[01:15:49.220 --> 01:15:49.380]  Okay?
[01:15:49.500 --> 01:15:49.620]  So,
[01:15:49.680 --> 01:15:49.800]  you're
[01:15:49.800 --> 01:15:49.900]  going
[01:15:49.900 --> 01:15:50.100]  to be
[01:15:50.100 --> 01:15:50.320]  drawing
[01:15:50.320 --> 01:15:50.520]  the
[01:15:50.520 --> 01:15:50.780]  line
[01:15:50.780 --> 01:15:51.000]  and
[01:15:51.000 --> 01:15:51.280]  finding
[01:15:51.280 --> 01:15:51.520]  out
[01:15:51.520 --> 01:15:51.780]  where
[01:15:51.780 --> 01:15:52.060]  that
[01:15:52.060 --> 01:15:52.240]  is
[01:15:52.240 --> 01:15:52.440]  going
[01:15:52.440 --> 01:15:52.580]  to
[01:15:52.580 --> 01:15:52.920]  intersect.
[01:15:52.920 --> 01:15:53.180]  That's
[01:15:53.180 --> 01:15:53.340]  going
[01:15:53.340 --> 01:15:53.460]  to
[01:15:53.460 --> 01:15:53.560]  be
[01:15:53.560 --> 01:15:53.880]  actually
[01:15:53.880 --> 01:15:54.220]  somewhere
[01:15:54.220 --> 01:15:54.460]  up
[01:15:54.460 --> 01:15:54.700]  here.
[01:15:55.340 --> 01:15:55.480]  All right?
[01:15:55.560 --> 01:15:55.920]  I think.
[01:15:56.600 --> 01:15:56.840]  All right?
[01:15:58.460 --> 01:15:58.980]  So,
[01:16:00.440 --> 01:16:00.800]  plotting
[01:16:00.800 --> 01:16:01.780]  two points
[01:16:01.780 --> 01:16:03.200]  will give
[01:16:03.200 --> 01:16:03.720]  you your
[01:16:03.720 --> 01:16:04.520]  intersection
[01:16:04.520 --> 01:16:06.100]  for your
[01:16:06.100 --> 01:16:06.860]  Q point.
[01:16:07.980 --> 01:16:08.180]  Okay?
[01:16:08.660 --> 01:16:08.900]  Now,
[01:16:08.940 --> 01:16:09.480]  unfortunately,
[01:16:10.300 --> 01:16:10.900]  that graph
[01:16:10.900 --> 01:16:11.620]  was putol
[01:16:11.620 --> 01:16:11.940]  kasi
[01:16:11.940 --> 01:16:12.780]  nandito yan,
[01:16:12.880 --> 01:16:13.220]  nasa
[01:16:13.220 --> 01:16:14.120]  outside
[01:16:14.120 --> 01:16:16.140]  your monitor.
[01:16:16.540 --> 01:16:16.720]  Okay?
[01:16:16.860 --> 01:16:17.220]  Outside
[01:16:17.220 --> 01:16:17.620]  of your
[01:16:17.620 --> 01:16:18.000]  monitor.
[01:16:18.480 --> 01:16:18.880]  So,
[01:16:18.980 --> 01:16:19.320]  I think
[01:16:19.320 --> 01:16:19.700]  we have
[01:16:19.700 --> 01:16:20.320]  a different
