[00:00.000 --> 00:06.000]  We're in here.
[01:00:52.900 --> 01:00:53.120]  All right.
[01:00:53.520 --> 01:00:59.840]  So, amplification is the process of increasing the power of a signal.
[01:01:00.700 --> 01:01:06.300]  Power is basically voltage times current.
[01:01:06.300 --> 01:01:24.080]  And so, therefore, when we say that a circuit can do power amplification, it would mean that either of these two parameters here increases or both might increase.
[01:01:24.860 --> 01:01:31.200]  And either way, all right, that constitutes a form of amplification.
[01:01:32.360 --> 01:01:32.660]  Okay.
[01:01:32.660 --> 01:01:38.780]  The other way of thinking about it is amplification can make the weak signal stronger.
[01:01:39.340 --> 01:01:42.180]  But this is just the same definition, actually.
[01:01:42.800 --> 01:01:46.020]  When you have a weak signal, its power is weak.
[01:01:46.840 --> 01:01:53.380]  And amplification makes the signal stronger, which is greater in power.
[01:01:53.640 --> 01:01:55.940]  So, it's actually meaning exactly the same thing.
[01:01:56.600 --> 01:01:56.900]  All right.
[01:01:56.900 --> 01:02:03.060]  Now, formally, though, amplifier properties include voltage gain.
[01:02:03.580 --> 01:02:03.800]  All right.
[01:02:03.840 --> 01:02:05.400]  So, this is the first factor here.
[01:02:05.620 --> 01:02:19.900]  So, we can calculate the voltage gain objectively for a circuit by looking at the magnitude of the input signal versus the magnitude of the output signal,
[01:02:19.900 --> 01:02:25.580]  which is what we were doing exactly in the simulation just a few moments ago.
[01:02:25.580 --> 01:02:33.960]  So, we can also be looking in terms of the gain of the current instead.
[01:02:34.260 --> 01:02:35.080]  All right.
[01:02:35.220 --> 01:02:43.060]  Which is how much input current is required to drive the circuit and how much output current it's producing.
[01:02:44.060 --> 01:02:44.380]  All right.
[01:02:45.440 --> 01:02:48.620]  And so, that's another way of characterizing it.
[01:02:48.660 --> 01:02:49.440]  It could be that.
[01:02:49.440 --> 01:02:54.280]  You will see this in particular with the common collector configuration.
[01:02:55.360 --> 01:02:55.600]  All right.
[01:02:56.080 --> 01:02:58.540]  And then, we have input impedance.
[01:02:59.080 --> 01:02:59.480]  All right.
[01:02:59.640 --> 01:03:08.200]  And output impedance, which, as I said, can be thought of as input resistance and output resistance, which is an important factor as well.
[01:03:08.200 --> 01:03:15.060]  Because, as an example, you can have a circuit with a humongous amount of voltage gain.
[01:03:15.840 --> 01:03:16.480]  All right.
[01:03:16.480 --> 01:03:25.760]  But, you might find that when you connect the output to another circuit, that humongous voltage gain suddenly comes tumbling down.
[01:03:25.760 --> 01:03:29.740]  And so, you might be wondering, bakit nawala yung amplification ko?
[01:03:29.840 --> 01:03:30.480]  Ano nangyari?
[01:03:31.040 --> 01:03:44.780]  And then, you will find out that, oh, my circuit has a lot of voltage gain, but its output impedance, its ability to drive an external circuit is extremely poor.
[01:03:44.780 --> 01:03:51.320]  And so, when I connect it to an external circuit, it gets crunched down.
[01:03:52.040 --> 01:04:00.100]  So, all that voltage gain disappears because the output resistance or output impedance of that circuit is very, very high.
[01:04:01.040 --> 01:04:01.300]  All right.
[01:04:01.580 --> 01:04:10.580]  So, any form of output loading will reduce that output through a factor of voltage division.
[01:04:11.260 --> 01:04:11.600]  Okay.
[01:04:11.600 --> 01:04:12.280]  All right.
[01:04:12.280 --> 01:04:18.020]  So, we'll see all of that as we go along in these slides over here.
[01:04:18.400 --> 01:04:22.760]  And I think this is exactly what this first part is trying to explain.
[01:04:23.260 --> 01:04:23.460]  Okay.
[01:04:24.200 --> 01:04:30.200]  What is this concept of finite input and output impedance?
[01:04:31.000 --> 01:04:31.300]  Okay.
[01:04:31.800 --> 01:04:32.120]  All right.
[01:04:32.180 --> 01:04:34.200]  So, let's have a look here.
[01:04:34.200 --> 01:04:42.060]  I think we will be basically going up to the 9 a.m. time on this particular concept here.
[01:04:42.360 --> 01:04:42.480]  Okay.
[01:04:42.840 --> 01:04:47.200]  So, a typical input source signal.
[01:04:47.420 --> 01:04:50.440]  This could be another amplifier, for example.
[01:04:51.360 --> 01:04:51.760]  All right.
[01:04:51.980 --> 01:04:56.120]  Whose output is feeding our amplifier.
[01:04:57.500 --> 01:04:58.100]  Okay.
[01:04:58.100 --> 01:05:11.620]  Now, that source signal might have a signal amplitude of one volt peak to peak.
[01:05:12.120 --> 01:05:12.320]  All right.
[01:05:12.360 --> 01:05:13.600]  One volt peak to peak.
[01:05:14.160 --> 01:05:17.700]  But it also has an output impedance.
[01:05:18.580 --> 01:05:18.860]  All right.
[01:05:18.860 --> 01:05:27.260]  And in this case, it's represented, in all cases, really, it's represented by a series resistor,
[01:05:27.700 --> 01:05:31.440]  which is representative of its output impedance.
[01:05:32.020 --> 01:05:38.420]  So, in this particular case, the output impedance of this circuit, all right, is 10 k ohms.
[01:05:38.420 --> 01:05:50.900]  So, if we view that whatever circuit it is as the signal source, we can think of it as a perfect signal source with a resistor,
[01:05:51.160 --> 01:05:54.440]  with a series resistor connected to it.
[01:05:55.460 --> 01:05:55.620]  Okay.
[01:05:56.200 --> 01:05:56.560]  All right.
[01:05:56.780 --> 01:06:00.660]  Now, what is the effect of that?
[01:06:00.660 --> 01:06:09.080]  Well, let's just say that our amplifier has an input impedance of 1 k ohm.
[01:06:10.140 --> 01:06:10.840]  All right.
[01:06:10.920 --> 01:06:14.280]  It has an input impedance of 1 k ohm.
[01:06:14.820 --> 01:06:25.360]  We know that our amplifier is supposed to magnify, all right, an input signal by a factor of 150.
[01:06:25.360 --> 01:06:30.980]  It has a voltage gain of 150, all right?
[01:06:31.580 --> 01:06:36.200]  But it has an input impedance of 1 k ohm.
[01:06:36.680 --> 01:06:42.040]  And it also has an output impedance of 1 k ohm.
[01:06:42.600 --> 01:06:43.060]  All right.
[01:06:43.580 --> 01:06:45.700]  So, here is the output impedance.
[01:06:46.120 --> 01:06:47.640]  Here is the input impedance.
[01:06:47.860 --> 01:06:52.040]  So, the question here is what is going to happen?
[01:06:52.040 --> 01:07:04.920]  Now, in theory, if you did not consider impedances, if you have a 1 volt peak-to-peak signal, all right,
[01:07:04.920 --> 01:07:11.780]  and you have an amplifier that manages to amplify it by a factor of 150,
[01:07:12.720 --> 01:07:19.980]  then obviously, the output here should have been 150 volts peak-to-peak.
[01:07:19.980 --> 01:07:30.600]  In theory, assuming that, of course, the amplifier has that big an output swing capability.
[01:07:31.160 --> 01:07:37.340]  Maybe this amplifier is operating from something like 200 volts, okay?
[01:07:37.780 --> 01:07:40.820]  Maybe its supply is 200 volts.
[01:07:40.980 --> 01:07:45.460]  That's why it can handle and produce 150 volts peak-to-peak.
[01:07:45.820 --> 01:07:48.000]  That should be fine, all right?
[01:07:48.000 --> 01:07:57.500]  But the reality of it is going to be that you're not really going to get 150 volts peak-to-peak,
[01:07:57.880 --> 01:08:03.360]  even if the amplifier has an advertised gain of 150.
[01:08:04.240 --> 01:08:05.320]  Why not?
[01:08:06.080 --> 01:08:13.500]  Well, as you can see, this input impedance here will act as a voltage divider
[01:08:13.500 --> 01:08:22.500]  through the fact that the signal source has a series impedance or output impedance of 10 k ohms.
[01:08:22.500 --> 01:08:34.640]  So, dito pa lang ang ating input signal into our perfect amplifier is going to be smaller than 1 volt peak-to-peak.
[01:08:34.640 --> 01:08:41.120]  In fact, all right, I don't know if the slides will actually show it, all right?
[01:08:41.560 --> 01:08:47.320]  The actual V in can be calculated simply through voltage division.
[01:08:47.320 --> 01:08:55.120]  And you would say that V in is equal to 1 volt peak-to-peak, which is our source,
[01:08:56.040 --> 01:09:03.560]  multiplied to 1 k ohm divided by 1 k plus 10 k,
[01:09:04.160 --> 01:09:12.880]  which makes your signal significantly smaller by a factor of more than 10, all right, times.
[01:09:12.880 --> 01:09:17.180]  In fact, it's divided by 11, okay?
[01:09:17.560 --> 01:09:22.460]  So, lumi-ir ang input signal natin, all right?
[01:09:22.600 --> 01:09:26.040]  And so, in fact, let's try that as a calculation.
[01:09:26.520 --> 01:09:27.860]  Do I need to do this?
[01:09:27.960 --> 01:09:29.260]  But what the heck, all right?
[01:09:29.260 --> 01:09:43.240]  1 divided by 11 times 1 volt peak-to-peak essentially is equal to 0.091 volts peak-to-peak.
[01:09:43.340 --> 01:09:46.000]  Yan na lang yung natira sa input natin, right?
[01:09:46.160 --> 01:09:47.640]  Yan na ang V in natin.
[01:09:48.160 --> 01:09:51.200]  0.091 volts peak-to-peak.
[01:09:51.200 --> 01:09:59.760]  Or if you like, this is basically 90.91 millivolts.
[01:10:00.480 --> 01:10:00.780]  Okay?
[01:10:01.300 --> 01:10:05.360]  90.91 millivolts talaga ang input natin.
[01:10:06.200 --> 01:10:10.100]  Minultiply natin ang by factor of 150,
[01:10:11.140 --> 01:10:15.600]  and that gives you basically an output signal here, all right?
[01:10:15.600 --> 01:10:27.200]  Our V out is basically equal to 13.64 volts peak-to-peak.
[01:10:28.000 --> 01:10:29.780]  Ang layo sa 150, di ba?
[01:10:30.100 --> 01:10:30.460]  All right?
[01:10:30.880 --> 01:10:35.120]  And that's only because of the input getting shrunk down, all right?
[01:10:35.420 --> 01:10:39.040]  So, this is 13.64 volts peak-to-peak,
[01:10:39.040 --> 01:10:50.540]  and that comes from 90.91 millivolts times 150 is equal to 13.64 volts peak-to-peak.
[01:10:51.120 --> 01:10:58.280]  Then, we also have our output impedance driving the load of our load.
[01:10:58.280 --> 01:10:59.640]  That's L, all right?
[01:11:00.700 --> 01:11:02.480]  Of 500 ohms.
[01:11:03.080 --> 01:11:05.580]  We have further voltage division.
[01:11:05.580 --> 01:11:10.300]  So, ano ang ating actual V load na lalabas?
[01:11:10.980 --> 01:11:11.240]  All right?
[01:11:11.340 --> 01:11:13.600]  So, our V load, ladies and gentlemen,
[01:11:14.160 --> 01:11:18.620]  is going to be equal to 13.6 volts peak-to-peak,
[01:11:19.020 --> 01:11:21.580]  multiplied by 500 ohms,
[01:11:21.680 --> 01:11:26.040]  divided by 500 plus 1K.
[01:11:26.800 --> 01:11:27.160]  All right?
[01:11:27.240 --> 01:11:30.600]  And that's a factor of divide by 3.
[01:11:31.180 --> 01:11:31.580]  All right?
[01:11:31.580 --> 01:11:43.620]  So, you're going to be left with just 4.54 volts peak-to-peak.
[01:11:44.100 --> 01:11:44.400]  Okay?
[01:11:44.940 --> 01:11:45.320]  All right?
[01:11:45.700 --> 01:11:50.460]  So, all of this beautiful gain, all right,
[01:11:50.460 --> 01:11:58.180]  has been negated to a certain extent, all right,
[01:11:58.180 --> 01:12:06.580]  by the fact that we have impedances to deal with, all right?
[01:12:06.580 --> 01:12:16.660]  So, this input and output impedance can drastically alter the amplification factor
[01:12:16.660 --> 01:12:21.320]  because of the effect of its voltage division.
[01:12:21.820 --> 01:12:27.840]  So, you'll notice that if our signal source had a lower output impedance,
[01:12:28.800 --> 01:12:33.640]  if the impedance were 1K instead of 10K,
[01:12:34.180 --> 01:12:39.840]  then our input signal would have been 0.5 volts peak-to-peak,
[01:12:39.840 --> 01:12:47.220]  which would have been so much larger compared to 90.91 millivolts, all right?
[01:12:47.840 --> 01:12:53.420]  So, we would have expected that the output would have been very, very, very much larger.
[01:12:53.660 --> 01:12:57.140]  And that's all because the input impedance here, all right,
[01:12:57.720 --> 01:13:06.340]  of our circuit is so much lower than the output impedance of the signal source, okay?
[01:13:06.340 --> 01:13:16.180]  That series resistance is the biggest factor in this case for reducing the signal amplitude, okay?
[01:13:16.400 --> 01:13:18.340]  So, are there any questions about this?
[01:13:18.400 --> 01:13:19.460]  Is this clear, people?
[01:13:19.900 --> 01:13:20.380]  The guess nyo?
[01:13:21.000 --> 01:13:21.220]  Okay?
[01:13:21.640 --> 01:13:26.640]  So, because of this very, very big disparity, all right,
[01:13:27.220 --> 01:13:33.060]  it is highly important that when we do the calculations of the amplifier
[01:13:33.060 --> 01:13:39.340]  that you are designing or putting together or analyzing, all right,
[01:13:39.780 --> 01:13:45.020]  it's important that the input and output impedances are calculated
[01:13:45.020 --> 01:13:53.180]  and taken into consideration so that the overall voltage as well as current gains
[01:13:53.180 --> 01:13:56.600]  are correctly represented, okay?
[01:13:57.140 --> 01:13:57.500]  All right.
[01:13:57.960 --> 01:13:58.420]  Questions?
[01:13:59.960 --> 01:14:00.640]  Okay ba tayo?
[01:14:00.640 --> 01:14:00.640] 
[01:14:03.060 --> 01:14:05.840]  Okay.
[01:14:06.200 --> 01:14:06.640]  All right.
[01:14:06.780 --> 01:14:08.020]  So, let's go forward.
[01:14:08.220 --> 01:14:09.000]  Yike, what a mess.
[01:14:10.760 --> 01:14:11.960]  Clear all my drawings.
[01:14:12.860 --> 01:14:13.080]  All right.
[01:14:13.080 --> 01:14:20.880]  So, a good amplifier, okay, going towards an ideal amplifier,
[01:14:21.600 --> 01:14:28.960]  what we'd want is an amplifier possibly with high voltage gain, okay?
[01:14:28.960 --> 01:14:33.480]  We want it to amplify by a large factor, all right?
[01:14:33.480 --> 01:14:37.440]  It should have a high input impedance.
[01:14:38.700 --> 01:14:45.880]  So, as you saw in this previous example, the problem really here is this very, very big mismatch.
[01:14:45.880 --> 01:14:49.140]  The ideal case, all right?
[01:14:49.140 --> 01:14:55.600]  If you do not have control of the source, which you typically don't, it's not your providence,
[01:14:55.740 --> 01:15:03.780]  you're just being fed a signal, then this one would ideally be infinite, all right?
[01:15:03.780 --> 01:15:08.600]  Sana infinitely high ang input impedance natin.
[01:15:08.600 --> 01:15:13.340]  Kasi kung infinitely high ang input impedance, it will be like it's not there.
[01:15:14.120 --> 01:15:24.860]  Which means that whatever is the signal output here is not going to get crunched down by the input impedance of the amplifier.
[01:15:24.860 --> 01:15:31.900]  So, we want that Z in to be as high as possible, all right?
[01:15:32.300 --> 01:15:35.920]  We want our input impedance to be as high as possible.
[01:15:36.580 --> 01:15:48.140]  The ideal, all right, the ideal would be that it is infinite, all right, in impedance, infinitely high, all right?
[01:15:48.560 --> 01:15:53.160]  We also would want our amplifier to have a low output impedance.
[01:15:53.160 --> 01:16:02.600]  So, as you saw over there a while ago in the previous slide, as the amplifier drives a load, if the load impedance is very low,
[01:16:02.980 --> 01:16:12.420]  then we are still going to get a further reduction due to the fact that the amplifier here in question has a finite output impedance.
[01:16:12.420 --> 01:16:17.720]  It's not that high, 1k ohm, all right?
[01:16:17.720 --> 01:16:26.780]  But it is not that low either such that a 500 ohm load will actually reduce it by a significant factor.
[01:16:27.160 --> 01:16:32.740]  In this case, we saw a factor of 3 because of the ratio that we have, okay?
[01:16:32.740 --> 01:16:46.400]  So, given this, all right, given this, we can say that the output impedance should be as low as possible.
[01:16:47.060 --> 01:16:52.360]  But realistically speaking, all right, it won't be, all right?
[01:16:52.360 --> 01:16:57.860]  So, in the ideal case, what is the ideal?
[01:16:59.560 --> 01:17:05.320]  Well, the ideal pushes the impedance all the way down to 0 ohms, all right?
[01:17:05.320 --> 01:17:21.840]  In the ideal case, the output impedance is 0 so that it can maintain its amplitude even if the load resistance, whatever you're driving, all right?
[01:17:21.920 --> 01:17:27.980]  Even if whatever you're driving has a low input impedance, all right?
[01:17:27.980 --> 01:17:32.020]  So, this is your ideal, 0, okay?
[01:17:33.180 --> 01:17:41.000]  Another factor that is of consideration here is that sana it has high bandwidth.
[01:17:41.360 --> 01:17:42.340]  What does that mean?
[01:17:42.780 --> 01:17:52.760]  That it can basically amplify any frequency that you might want to put into it signal-wise, all right?
[01:17:52.760 --> 01:18:00.520]  It doesn't care if the frequency of the input signal is low or very, very, very high.
[01:18:00.720 --> 01:18:04.600]  It can amplify equally, all right?
[01:18:05.560 --> 01:18:12.260]  So, maybe one of the other factors here that's, you know, not quite stated, aside from having high bandwidth,
[01:18:12.260 --> 01:18:22.100]  meaning that you can amplify any input signal regardless of frequency, is that the gain is constant.
[01:18:22.760 --> 01:18:32.240]  Regardless of frequency.
[01:18:33.100 --> 01:18:35.920]  So, there is a difference, no?
[01:18:36.180 --> 01:18:47.460]  You can say that my amplifier has high bandwidth, but maybe its voltage gain or current gain is not constant through that frequency range.
[01:18:47.460 --> 01:18:55.660]  So, maybe I can have an amplifier that does 20 Hz all the way to 2 MHz, okay?
[01:18:56.080 --> 01:19:06.280]  But the next question will be, is its amplification factor constant from 20 Hz all the way to 2 MHz or not?
[01:19:06.680 --> 01:19:10.300]  Baka naman yung amplification factor mo eh, ganito yung itsura.
[01:19:10.300 --> 01:19:11.300]  All right?
[01:19:11.300 --> 01:19:11.720]  All right?
[01:19:11.720 --> 01:19:20.040]  So, pabago-bago, which means that when you input a different frequency, it will amplify it more or less.
[01:19:20.780 --> 01:19:26.140]  And that will create, you know, distortions and unpredictable characteristics perhaps.
[01:19:26.560 --> 01:19:34.980]  Or at least problematic, you know, relations between the input signal and the output signal.
[01:19:34.980 --> 01:19:35.540]  Okay?
[01:19:36.540 --> 01:19:39.800]  So, these are just some of the things over here.
[01:19:40.240 --> 01:19:41.120]  There are other factors.
[01:19:41.360 --> 01:19:44.680]  The other factor, of course, is linearity, all right?
[01:19:44.800 --> 01:19:47.100]  Which, interestingly, was not stated.
[01:19:47.280 --> 01:19:49.240]  So, this should really have been included here.
[01:19:50.040 --> 01:20:02.460]  A good amplifier will provide a very linear response, meaning that it will have great fidelity with the shape of the input signal.
[01:20:02.460 --> 01:20:09.620]  If I put in a perfect sinusoid, hopefully its output will be as close to a perfect sinusoid as possible.
[01:20:10.460 --> 01:20:10.800]  All right?
[01:20:10.860 --> 01:20:18.480]  If I put in a triangular wave, then its output should look like a very good triangular wave.
[01:20:18.880 --> 01:20:19.900]  And so on and so forth.
[01:20:20.600 --> 01:20:20.760]  Okay?
[01:20:21.100 --> 01:20:21.520]  All right.
[01:20:23.380 --> 01:20:23.600]  Okay.
[01:20:23.820 --> 01:20:26.720]  Now, what's this statement here?
[01:20:26.720 --> 01:20:45.480]  Determine AC response of a BJP in circuit means that you will examine the AC response of the BJP by reviewing models frequently used to represent the transistor in the AC domain.
[01:20:46.240 --> 01:20:46.400]  Okay?
[01:20:46.640 --> 01:20:52.240]  So, there are several models used for the transistors, but we're not going to go in-depth.
[01:20:52.240 --> 01:20:57.080]  So, we're going to use one of the simplest possible AC domain models.
[01:20:57.780 --> 01:20:57.860]  Okay?
[01:20:59.140 --> 01:21:16.380]  In my time and several years before this, we were using a much more complex model called the two-port hybrid model, which I'll briefly mention as we go along in the next meeting.
[01:21:16.380 --> 01:21:16.900]  All right?
[01:21:16.900 --> 01:21:16.920]  All right?
[01:21:17.360 --> 01:21:31.220]  So, this two-port hybrid is the most traditionally used model representation for a transistor amplifier circuit and the transistor itself.
[01:21:31.620 --> 01:21:31.940]  All right?
[01:21:32.040 --> 01:21:33.780]  As a two-port hybrid.
[01:21:34.500 --> 01:21:35.860]  What the hell is that?
[01:21:35.980 --> 01:21:37.740]  I'll define that in the next meeting.
[01:21:37.740 --> 01:21:46.180]  But needless to say, there are basically something like four important parameters in a two-port hybrid.
[01:21:46.180 --> 01:21:58.780]  And it is a long series of calculations, but will provide you with a reasonably accurate result.
[01:21:58.780 --> 01:21:59.780]  Okay?
[01:21:59.780 --> 01:22:00.100]  Okay?
[01:22:00.100 --> 01:22:00.140]  Okay?
[01:22:01.620 --> 01:22:10.860]  But, it's a fairly complex way of arriving at the amplifier's performance parameters.
[01:22:11.980 --> 01:22:13.880]  And we spent a lot of time.
[01:22:13.980 --> 01:22:15.260]  I spent a lot of time.
[01:22:15.700 --> 01:22:25.780]  My teachers spent a lot of time teaching about this hybrid two-port parameters, parameter system of modeling.
[01:22:25.780 --> 01:22:36.000]  And, you know, bottom line is you'll still get a more accurate result anyway if you use something like L-T-Sports.
[01:22:37.000 --> 01:22:37.420]  Okay?
[01:22:37.660 --> 01:22:38.460]  But, anyway.
[01:22:38.700 --> 01:22:38.920]  Sige.
[01:22:38.920 --> 01:22:50.040]  So, having said that, I think we can basically stop here because, yeah, the equivalent models are coming up next.
[01:22:50.580 --> 01:22:54.760]  And we're still a little bit ahead of the other class.
[01:22:54.760 --> 01:23:06.140]  And, again, of course, there is the upcoming quiz one, which means that we don't really want to push the lessons too quickly because you're likely to not really register everything.
[01:23:06.780 --> 01:23:07.000]  Okay?
[01:23:07.320 --> 01:23:08.460]  So, I'm going to stop here.
[01:23:10.680 --> 01:23:10.940]  Okay?
[01:23:11.380 --> 01:23:14.300]  Are there any questions so far?
[01:23:14.640 --> 01:23:18.000]  I'd like to hear them if you have any questions.
[01:23:18.820 --> 01:23:19.820]  May tanong ba o wala?
[01:23:20.000 --> 01:23:21.520]  Kung walang tanong, mag-thumbs up.
[01:23:21.520 --> 01:23:25.920]  Okay?
[01:23:27.540 --> 01:23:29.880]  Everybody reaching for the keyboard with a thumbs up.
[01:23:30.100 --> 01:23:30.460]  All right.
[01:23:30.800 --> 01:23:31.020]  Sige.
[01:23:31.220 --> 01:23:34.660]  So, if there are no questions, we've seen a lot of people doing the thumbs up there.
[01:23:35.120 --> 01:23:36.240]  Thank you for joining us.
[01:23:36.320 --> 01:23:37.740]  And I'll see you again next time.
[01:23:37.740 --> 01:23:38.200]  Alright.
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:23:38.200] 
[01:23:38.200 --> 01:24:08.180]  Thank you.
